Pricing Date,MSAG | Share Price (Daily)($)
03/07/2025,1.6500217108119846
03/06/2025,1.6352609919861383
03/05/2025,1.5946557483029846
03/04/2025,1.4953664700926703
03/03/2025,1.4590112312375352
02/28/2025,1.4566642388929352
02/27/2025,1.4568158168574403
02/26/2025,1.5132408575031524
02/25/2025,1.5434691306173876
02/24/2025,1.5076955292639513
02/21/2025,1.5050167224080269
02/20/2025,1.4964420259522813
02/19/2025,1.550629618066396
02/18/2025,1.548279108693378
02/17/2025,1.5508749869013938
02/14/2025,1.5126050420168067
02/13/2025,1.5248041775456918
02/12/2025,1.5325670498084292
02/11/2025,1.5312984997413346
02/10/2025,1.4434477781214556
02/07/2025,1.4788004136504653
02/06/2025,1.4525835235526043
02/05/2025,1.4793207625794353
02/04/2025,1.4422079269558
02/03/2025,1.4133911069844218
01/31/2025,1.4239684024529677
01/30/2025,1.4281246742416345
01/29/2025,1.4270833333333335
01/28/2025,1.407863176556471
01/27/2025,1.4387733669397187
01/24/2025,1.4509515298075912
01/23/2025,1.4263404476834982
01/22/2025,1.426934694302677
01/21/2025,1.435705368289638
01/20/2025,1.4247088186356074
01/17/2025,1.4304826592569722
01/16/2025,1.4618077002264773
01/15/2025,1.4610556641629797
01/14/2025,1.4515132798023471
01/13/2025,1.3769889840881273
01/10/2025,1.381639545594105
01/09/2025,1.348569075561046
01/08/2025,1.3604039987632692
01/07/2025,1.3683010262257698
01/06/2025,1.371571072319202
01/03/2025,1.358583779333059
01/02/2025,1.353707312070557
12/30/2024,1.36957875077817
12/27/2024,1.3244342475753468
12/23/2024,1.2996464961530463
12/20/2024,1.3333333333333335
12/19/2024,1.2977574750830565
12/18/2024,1.341297285968773
12/17/2024,1.3438320209973753
12/16/2024,1.365546218487395
12/13/2024,1.406528812847696
12/12/2024,1.395007342143906
12/11/2024,1.4050540002097098
12/10/2024,1.4078587938642573
12/09/2024,1.407109606432501
12/06/2024,1.3949064778611435
12/05/2024,1.384631645703414
12/04/2024,1.3900589721988206
12/03/2024,1.3560391043834752
12/02/2024,1.3747507608353449
11/29/2024,1.3715973834142223
11/28/2024,1.3609030488448148
11/27/2024,1.4044350580781417
11/26/2024,1.3717277486910995
11/25/2024,1.3942761295733308
11/22/2024,1.3825363825363828
11/21/2024,1.3951536767019825
11/20/2024,1.3985278654048372
11/19/2024,1.408301567132571
11/18/2024,1.405771060141634
11/15/2024,1.4031015929950417
11/14/2024,1.3965298349555648
11/13/2024,1.4276649746192895
11/12/2024,1.4323607427055705
11/11/2024,1.4059005218873148
11/08/2024,1.4160051491096333
11/07/2024,1.4237946284111747
11/06/2024,1.4166130070830651
11/05/2024,1.4412053717654767
11/04/2024,1.426238432226456
11/01/2024,1.4319809069212412
10/31/2024,1.433224755700326
10/30/2024,1.4118158123370983
10/29/2024,1.4149924389717004
10/28/2024,1.4288807101104135
10/25/2024,1.4826839826839828
10/24/2024,1.490602721970188
10/23/2024,1.53099730458221
10/22/2024,1.4922145328719723
10/21/2024,1.505143475906876
10/18/2024,1.4659572157671843
10/17/2024,1.4943151055766106
10/16/2024,1.47922558190124
10/15/2024,1.4940021810250819
10/14/2024,1.5057283142389524
10/11/2024,1.500054746523596
10/10/2024,1.4858516333442588
10/09/2024,1.5005476451259585
10/08/2024,1.502522483000658
10/07/2024,1.503676874108221
10/04/2024,1.5018636263977199
10/03/2024,1.508976759555017
10/02/2024,1.4908890115958036
10/01/2024,1.505423953951738
09/30/2024,1.516841400847647
09/27/2024,1.5295299765546502
09/26/2024,1.5088856599977647
09/25/2024,1.5286766346797591
09/24/2024,1.5274835544653809
