Pricing Date,STMPA | Share Price (Daily)($)
03/06/2025,26.02880658436214
03/05/2025,24.75487555220343
03/04/2025,22.957034540859308
03/03/2025,24.950141702529653
02/28/2025,24.690458849235256
02/27/2025,25.145681581685746
02/26/2025,26.43968053804119
02/25/2025,27.09470810583788
02/24/2025,27.672495026698776
02/21/2025,27.957775919732445
02/20/2025,27.600460443700293
02/19/2025,25.96003746487668
02/18/2025,24.19186107333403
02/17/2025,24.32673163575396
02/14/2025,24.506302521008404
02/13/2025,23.96344647519582
02/12/2025,23.112767940354146
02/11/2025,22.948784273150544
02/10/2025,22.424992267244047
02/07/2025,22.47673216132368
02/06/2025,22.40610085079892
02/05/2025,22.08563392020002
02/04/2025,22.452791035484545
02/03/2025,21.83534509439802
01/31/2025,22.684752104770816
01/30/2025,22.14114458459293
01/29/2025,24.770833333333336
01/28/2025,24.60631974137032
01/27/2025,25.60911573198908
01/24/2025,25.54410682367785
01/23/2025,25.585632483081728
01/22/2025,25.55983751692532
01/21/2025,25.67103620474407
01/20/2025,25.738352745424294
01/17/2025,25.388494391273028
01/16/2025,24.891908585546634
01/15/2025,24.755633295606543
01/14/2025,24.20218241712992
01/13/2025,23.888208894328844
01/10/2025,24.608535462081672
01/09/2025,25.195593988058473
01/08/2025,25.456044522312688
01/07/2025,26.75961438789261
01/06/2025,26.314422277639235
01/03/2025,24.166323589954715
01/02/2025,24.397497692544352
12/31/2024,25.13200124236463
12/30/2024,24.89624403403196
12/27/2024,25.414537490874963
12/24/2024,25.075324675324676
12/23/2024,24.828446662507794
12/20/2024,24.656250000000004
12/19/2024,24.444559800664454
12/18/2024,26.302001467043908
12/17/2024,25.73228346456693
12/16/2024,25.60924369747899
12/13/2024,26.110003148945104
12/12/2024,26.274386406544995
12/11/2024,26.218936772569993
12/10/2024,26.271275478041602
12/09/2024,26.77740160812526
12/06/2024,26.49793934270316
12/05/2024,26.292146707536197
12/04/2024,26.032013479359726
12/03/2024,25.67013560391044
12/02/2024,25.84216601951936
11/29/2024,25.606668073433212
11/28/2024,25.060660407215952
11/27/2024,25.20063357972545
11/26/2024,25.596858638743456
11/25/2024,25.621134290806168
11/22/2024,24.324324324324323
11/21/2024,24.205391796915976
11/20/2024,24.13249211356467
11/19/2024,24.60292249047014
11/18/2024,25.01849698763344
11/15/2024,25.48264584871822
11/14/2024,26.59754549301735
11/13/2024,25.856598984771573
11/12/2024,27.087533156498676
11/11/2024,26.91447438491852
11/08/2024,26.45355074018451
11/07/2024,26.981986840686012
11/06/2024,26.513200257566
11/05/2024,26.738726935254938
11/04/2024,26.243875884594445
11/01/2024,26.952701236710784
10/31/2024,27.17155266015201
10/30/2024,27.98110338835795
10/29/2024,28.861525167422773
10/28/2024,28.480190517428014
10/25/2024,28.322510822510825
10/24/2024,28.12702527543746
10/23/2024,28.05929919137466
10/22/2024,27.633001730103807
10/21/2024,27.206280454791557
10/18/2024,27.83689868606798
10/17/2024,27.520303194369248
10/16/2024,27.294974983685012
10/15/2024,27.27917121046892
10/14/2024,28.17239498090562
10/11/2024,27.98094820978868
10/10/2024,27.979897301431226
10/09/2024,28.198247535596934
10/08/2024,27.75279666593551
10/07/2024,28.295467017890463
10/04/2024,28.228458671344004
10/03/2024,28.318096706685758
10/02/2024,29.028161236885698
10/01/2024,28.79123311932699
09/30/2024,29.723399509257195
09/27/2024,30.67433292397008
09/26/2024,28.95942774114228
09/25/2024,28.101986163802724
