Pricing Date,KOA | Share Price (Daily)($)
03/07/2025,0.14072388884841566
03/06/2025,0.14046523116853432
03/05/2025,0.12792478533591434
03/04/2025,0.12417949646641531
03/03/2025,0.1285881842344071
02/28/2025,0.12681721690457493
02/27/2025,0.12940910876586728
02/26/2025,0.13435850549513714
02/25/2025,0.1363054392703523
02/24/2025,0.1373067717612338
02/21/2025,0.13555409534271007
02/20/2025,0.12944669627759844
02/19/2025,0.13193902801325852
02/18/2025,0.13140722416600392
02/17/2025,0.1312944570866138
02/14/2025,0.13237173224170176
02/13/2025,0.13149043966109455
02/12/2025,0.1325969593106376
02/11/2025,0.13481709516479828
02/10/2025,0.13673785603610164
02/07/2025,0.13734750517940464
02/06/2025,0.13825324605242387
02/05/2025,0.13467725176351386
02/04/2025,0.13463282764508155
02/03/2025,0.13476083899150462
01/31/2025,0.15015918999033173
01/30/2025,0.1462628511859701
01/29/2025,0.14575594291963498
01/28/2025,0.14633930546339302
01/27/2025,0.14757204818076064
01/24/2025,0.15041027087278247
01/23/2025,0.14818570007994228
01/22/2025,0.14773956689072948
01/21/2025,0.14981008432344473
01/20/2025,0.14845487634504093
01/17/2025,0.14707912515092483
01/16/2025,0.14790398918187964
01/15/2025,0.15442993293328627
01/14/2025,0.1501116620082307
01/13/2025,0.14605537206647437
01/10/2025,0.14881845975505004
01/09/2025,0.1531177349098789
01/08/2025,0.15373113528778135
01/07/2025,0.1561461369048748
01/06/2025,0.15780701443313594
01/03/2025,0.16755469482804544
01/02/2025,0.17076403730456344
12/30/2024,0.1700521762985603
12/27/2024,0.17362472909694868
12/23/2024,0.18249667768096417
12/20/2024,0.161392263192455
12/19/2024,0.1660411631297444
12/18/2024,0.16551311735947846
12/17/2024,0.15468773417260795
12/16/2024,0.14964646916674124
12/13/2024,0.14902007198153655
12/12/2024,0.14544449003301232
12/11/2024,0.14088243307188233
12/10/2024,0.14324402963360863
12/09/2024,0.14550332521074996
12/06/2024,0.13988877136715683
12/05/2024,0.13915315623425142
12/04/2024,0.14013562155042933
12/03/2024,0.13286418117251286
12/02/2024,0.13231389313855385
11/29/2024,0.1356706062395816
11/28/2024,0.12930621338961318
11/27/2024,0.124885912832886
11/26/2024,0.12267525035765382
11/25/2024,0.126077398915194
11/22/2024,0.1284322807522462
11/21/2024,0.12947788988961872
11/20/2024,0.12734033012754806
11/19/2024,0.13292036977354377
11/18/2024,0.1349279584313221
11/15/2024,0.12927594636853754
11/14/2024,0.12505695685715446
11/13/2024,0.12494707727212664
11/12/2024,0.12624623064825635
11/11/2024,0.12713429873300347
11/08/2024,0.12781014384087638
11/07/2024,0.1320575748924845
11/06/2024,0.12577434347961225
11/05/2024,0.12522361359570663
11/04/2024,0.1255469936953575
11/01/2024,0.12489914168042744
10/31/2024,0.12704266455654847
10/30/2024,0.14385310918049368
10/29/2024,0.13986740861433705
10/28/2024,0.13939590256117224
10/25/2024,0.13815111719423318
10/24/2024,0.1394135143519279
10/23/2024,0.13940153541352612
10/22/2024,0.14176372040819882
10/21/2024,0.14043355668956162
10/18/2024,0.14262074766184255
10/17/2024,0.14274067587710026
10/16/2024,0.14408298594138186
10/15/2024,0.1429178915451033
10/14/2024,0.14605602397691275
10/11/2024,0.14576210689781796
10/10/2024,0.14018678539413804
10/09/2024,0.1380249429462845
10/08/2024,0.13895537595252422
10/07/2024,0.13962249239320856
10/04/2024,0.14127954356415542
10/03/2024,0.14528236908120193
10/02/2024,0.14400181419608438
10/01/2024,0.1440912678617063
09/30/2024,0.15061599663440675
09/27/2024,0.15255530129672007
09/26/2024,0.14443057437318274
09/25/2024,0.14766577048601587
09/24/2024,0.15047899284505936
09/23/2024,0.1521089834113306
09/20/2024,0.15917706028997167
09/19/2024,0.15534062004732646
09/18/2024,0.15312517132060063
09/17/2024,0.16154448606773167
09/16/2024,0.1709487087906651
09/13/2024,0.1732437927237607
09/12/2024,0.17289583815018167
09/11/2024,0.1495285161731735
09/10/2024,0.14922620035784778
09/09/2024,0.1319990855929266
09/06/2024,0.1354574964685632
09/05/2024,0.13320463139370503
09/04/2024,0.12451215498189684
09/03/2024,0.12380542724093434
09/02/2024,0.1302736028864099
08/30/2024,0.13192114884474765
08/29/2024,0.13126605155521734
08/28/2024,0.13075234058125706
08/27/2024,0.13197764974736115
08/26/2024,0.1326884308596464
08/23/2024,0.1344881998066732
08/22/2024,0.12876610166291416
08/21/2024,0.128712031142591
08/20/2024,0.13216404338179982
08/19/2024,0.13336763687681372
08/16/2024,0.13032360281461744
08/15/2024,0.1315763688841484
08/14/2024,0.13248874874856142
08/13/2024,0.1320665823320139
08/12/2024,0.13375804449820328
08/09/2024,0.13315911682215767
08/08/2024,0.1313880046253
08/07/2024,0.14782529467438457
08/06/2024,0.14183110554048373
08/05/2024,0.13888788289234472
08/02/2024,0.14706995950102045
08/01/2024,0.14895743536703898
07/31/2024,0.1504744888993029
07/30/2024,0.15048497700822747
07/29/2024,0.1529241052757907
07/26/2024,0.15108521078926151
07/25/2024,0.14906859331476321
07/24/2024,0.15242490030612155
07/23/2024,0.1522213443319295
07/22/2024,0.1566387509698853
07/19/2024,0.15779020324662515
07/18/2024,0.16021406379078712
07/17/2024,0.16071391991120695
07/16/2024,0.15302699015846322
07/15/2024,0.15016615607083766
07/12/2024,0.1504000716546247
07/11/2024,0.14430997708402368
07/10/2024,0.1413320687504901
07/09/2024,0.14279586399963878
07/08/2024,0.145476942376961
07/05/2024,0.14709687447575415
07/04/2024,0.14615938756944702
07/03/2024,0.1466864146177851
