Pricing Date,003018 | Share Price (Daily)($)
03/07/2025,1.3560962123306608
03/06/2025,1.3606005409284094
03/05/2025,1.3529914765674564
03/04/2025,1.3639616824487997
03/03/2025,1.3412407506555193
02/28/2025,1.3277860163673312
02/27/2025,1.3461908294183906
02/26/2025,1.3334251670225223
02/25/2025,1.323918799646955
02/24/2025,1.339642945834828
02/21/2025,1.3310161239155325
02/20/2025,1.3534559988973882
02/19/2025,1.335932887564703
02/18/2025,1.2983266012694747
02/17/2025,1.324503311258278
02/14/2025,1.3056666207086722
02/13/2025,1.3039901275195391
02/12/2025,1.3326036393487481
02/11/2025,1.334300416028027
02/10/2025,1.3346839878988652
02/07/2025,1.3404678603279137
02/06/2025,1.3363701223862576
02/05/2025,1.321398124467178
01/27/2025,1.3623452193817047
01/24/2025,1.330664642142315
01/23/2025,1.3241307390433328
01/22/2025,1.3478571821532708
01/21/2025,1.3216525470348772
01/20/2025,1.3299548007122313
01/17/2025,1.281928763532608
01/16/2025,1.271122870664612
01/15/2025,1.2632325657535741
01/14/2025,1.2521995334942915
01/13/2025,1.186563194719112
01/10/2025,1.1974087964541424
01/09/2025,1.24111782436137
01/08/2025,1.2493691776804834
01/07/2025,1.2447283298530074
01/06/2025,1.2222935416467502
01/03/2025,1.2160297312437662
01/02/2025,1.2631175165082063
12/31/2024,1.268649559534737
12/30/2024,1.291904703190717
12/27/2024,1.3030967388325567
12/26/2024,1.2893766870829395
12/25/2024,1.2564914155739166
12/24/2024,1.302333232802347
12/23/2024,1.2975624460490798
12/20/2024,1.3637422732692808
12/19/2024,1.3403870401842004
12/18/2024,1.3490701983119469
12/17/2024,1.345303791560278
12/16/2024,1.4332784184514002
12/13/2024,1.429435373027654
12/12/2024,1.4352157639806253
12/11/2024,1.39935266166242
12/10/2024,1.3691075294020323
12/09/2024,1.3684674266204084
12/06/2024,1.3672627235213206
12/05/2024,1.3830725148776724
12/04/2024,1.3542154083289752
12/03/2024,1.3863343124605374
12/02/2024,1.3613299781362156
11/29/2024,1.3310688593402649
11/28/2024,1.3279955825510767
11/27/2024,1.3138645836208562
11/26/2024,1.303088803088803
11/25/2024,1.2927514567675678
11/22/2024,1.2518114691877718
11/21/2024,1.2903225806451613
11/20/2024,1.2641806287780508
11/19/2024,1.2598077135595092
11/18/2024,1.211359429818503
11/15/2024,1.2245860261282
11/14/2024,1.235847882884751
11/13/2024,1.315825923155766
11/12/2024,1.2484446287847364
11/11/2024,1.2628397953950015
11/08/2024,1.26335164681931
11/07/2024,1.2758813654168997
11/06/2024,1.254600200736032
11/05/2024,1.261136993820992
11/04/2024,1.2495773695480672
11/01/2024,1.2116702235201617
10/31/2024,1.243361712888814
10/30/2024,1.2326267022322055
10/29/2024,1.243376601530741
10/28/2024,1.2447550484851038
10/25/2024,1.2303370786516854
10/24/2024,1.1939376062253313
10/23/2024,1.187068530055565
10/22/2024,1.1906600581289228
10/21/2024,1.1841550779603878
10/18/2024,1.1801985775649604
10/17/2024,1.1583824768323505
10/16/2024,1.1757104128330826
10/15/2024,1.1700752893583548
10/14/2024,1.1996838480212273
10/11/2024,1.1929695460206045
10/10/2024,1.2145520280194328
10/09/2024,1.210315218619365
10/08/2024,1.312581504791064
09/30/2024,1.254544158528762
09/27/2024,1.1681643132220796
09/26/2024,1.1282270717444018
09/25/2024,1.1137029556510112
09/24/2024,1.10354242807776
09/23/2024,1.0976699332038065
09/20/2024,1.0549151388829812
09/19/2024,1.0710849510442018
09/18/2024,1.0279001468428783
09/13/2024,1.0359262025905203
09/12/2024,1.0509160391143082
09/11/2024,1.0562242791128837
09/10/2024,1.0560462862840372
09/09/2024,1.0543629539032515
09/06/2024,1.0622989673269003
09/05/2024,1.071569567424285
09/04/2024,1.0587590163242924
09/03/2024,1.0615592001797347
09/02/2024,1.0494668371289284
08/30/2024,1.0551261073181741
08/29/2024,1.0383060255561347
08/28/2024,1.030132064614823
08/27/2024,1.0247052217855137
08/26/2024,1.0151785338182227
08/23/2024,0.980213175300875
08/22/2024,0.9881312283059007
08/21/2024,1.0008831321754488
08/20/2024,0.9981774849292022
08/19/2024,1.0209369091800293
08/16/2024,1.0239669652074441
08/15/2024,1.028657448706512
08/14/2024,1.0270277843942217
08/13/2024,1.0201799988819946
08/12/2024,1.0020905923344947
08/09/2024,1.0047586485996176
08/08/2024,1.003554254651892
08/07/2024,1.0090986596598135
08/06/2024,1.0100159919198721
08/05/2024,0.9859747545582048
08/02/2024,1.0073771866092887
08/01/2024,1.0037970314118054
07/31/2024,1.0069112616168752
07/30/2024,0.9819064430714917
07/29/2024,0.9587173023678666
07/26/2024,0.9616578595179294
07/25/2024,0.9390775188437868
07/24/2024,0.9336013880091434
07/23/2024,0.9622257656567879
07/22/2024,0.992685475444096
07/19/2024,0.9904258831297458
07/18/2024,0.975220044353228
07/17/2024,0.9888445117752375
07/16/2024,1.010490376937691
07/15/2024,1.0227993273233533
07/12/2024,1.0221676575669376
07/11/2024,1.031964728575365
07/10/2024,0.989554700384827
07/09/2024,1.0299213464605907
07/08/2024,1.0139085693846386
07/05/2024,1.0468683367036715
07/04/2024,1.0302188355363604
07/03/2024,1.071674233044435
07/02/2024,1.0947148377869158
07/01/2024,1.0937908451770015
06/28/2024,1.107762594779067
06/27/2024,1.104751946729769
06/26/2024,1.158821910266997
06/25/2024,1.155345019898374
06/24/2024,1.1710085828040833
06/21/2024,1.247779200925505
06/20/2024,1.2216452959081079
06/19/2024,1.1808799415760682
06/18/2024,1.196531712225852
06/17/2024,1.0873459937708443
