Pricing Date,838 | Share Price (Daily)($)
03/06/2025,0.09393090545532684
03/05/2025,0.09264859161272888
03/04/2025,0.09134135421919867
03/03/2025,0.09259604589162919
02/28/2025,0.09257473481195758
02/27/2025,0.09773863659746086
02/26/2025,0.09906034189969434
02/25/2025,0.09646910223280952
02/24/2025,0.10033070544062546
02/21/2025,0.0965321780362266
02/20/2025,0.09259842762725531
02/19/2025,0.08229045186458592
02/18/2025,0.084893137547463
02/17/2025,0.08483803006094198
02/14/2025,0.08607466141825348
02/13/2025,0.08474663324738826
02/12/2025,0.0847227000354295
02/11/2025,0.08213984565409627
02/10/2025,0.08601498971671541
02/07/2025,0.083432382546459
02/06/2025,0.08475925802259218
02/05/2025,0.08218857912641246
02/04/2025,0.08090251247247068
02/03/2025,0.07955378028015761
01/28/2025,0.08086710069622723
01/27/2025,0.08217180069229742
01/24/2025,0.07832120424629323
01/23/2025,0.07830954092636334
01/22/2025,0.07831939419306629
01/21/2025,0.07962990077086882
01/20/2025,0.07840375104109898
01/17/2025,0.07837171834489211
01/16/2025,0.0770401186417827
01/15/2025,0.07962243554756479
01/14/2025,0.07834786193822335
01/13/2025,0.07834343449910933
01/10/2025,0.07834262956393978
01/09/2025,0.08095740483971077
01/08/2025,0.07969633126936974
01/07/2025,0.08100789248323909
01/06/2025,0.08102935577803616
01/03/2025,0.0809954989644147
01/02/2025,0.0822978590983498
12/31/2024,0.08496942388155777
12/30/2024,0.08630595073089546
12/27/2024,0.08631962740841424
12/24/2024,0.08627083376254147
12/23/2024,0.0849365099588058
12/20/2024,0.08364496444445589
12/19/2024,0.08492175618191784
12/18/2024,0.08623252665164248
12/17/2024,0.08622597898660023
12/16/2024,0.08744743508956933
12/13/2024,0.08744979674352389
12/12/2024,0.0874574448793023
12/11/2024,0.08615911659900391
12/10/2024,0.08745699495193082
12/09/2024,0.08747252012189553
12/06/2024,0.08483595810646141
12/05/2024,0.08609600861474094
12/04/2024,0.08606747433069693
12/03/2024,0.08736777593762969
12/02/2024,0.0873871998313941
11/29/2024,0.08610685217766799
11/28/2024,0.08607344505752149
11/27/2024,0.08610386439283925
11/26/2024,0.08479682808470947
11/25/2024,0.08481350025315545
11/22/2024,0.08349443477478981
11/21/2024,0.08736586769724129
11/20/2024,0.08736463299787883
11/19/2024,0.0886511154622963
11/18/2024,0.08736418402494504
11/15/2024,0.08862504029870491
11/14/2024,0.088665013299752
11/13/2024,0.0886792574076097
11/12/2024,0.0887061627642383
11/11/2024,0.09130916769764577
11/08/2024,0.0913142173664208
11/07/2024,0.09392703799155686
11/06/2024,0.09773662551440329
11/05/2024,0.08750516344806376
11/04/2024,0.08877429713915178
11/01/2024,0.08743787731694302
10/31/2024,0.08746633189356891
10/30/2024,0.08876698794312737
10/29/2024,0.09008301793552886
10/28/2024,0.09006887695690718
10/25/2024,0.09008626403254429
10/24/2024,0.09136744899508674
10/23/2024,0.09136897752966595
10/22/2024,0.09264191583481945
10/21/2024,0.09004686296025204
10/18/2024,0.09009994658360308
10/17/2024,0.09004072413322939
10/16/2024,0.0887938323031962
10/15/2024,0.09010864528088151
10/14/2024,0.09145842699234454
10/10/2024,0.09009240907101856
10/09/2024,0.09134288188078853
10/08/2024,0.09518174568466545
10/07/2024,0.10815473852948182
10/04/2024,0.09397830774677352
10/03/2024,0.0952832229421399
10/02/2024,0.09788743460217773
09/30/2024,0.09653192954456236
09/27/2024,0.0887716702582741
09/26/2024,0.08613286573043243
09/25/2024,0.08477885563959225
09/24/2024,0.0809178914595661
09/23/2024,0.08091965833922035
09/20/2024,0.07956041586999316
09/19/2024,0.08082518666769302
09/17/2024,0.07955990540070602
09/16/2024,0.08083286073909463
09/13/2024,0.08078766692911972
09/12/2024,0.08202026156774041
09/11/2024,0.07950216258705166
09/10/2024,0.08080124049142545
09/09/2024,0.07951898708201229
09/05/2024,0.08337897797897055
09/04/2024,0.08208516849263414
09/03/2024,0.0846280788272087
09/02/2024,0.08465054715035478
08/30/2024,0.08592244153106096
08/29/2024,0.08463448162662345
08/28/2024,0.08589677515301164
08/27/2024,0.08587200457300467
08/26/2024,0.08336785617633968
08/23/2024,0.08209959450497151
08/22/2024,0.08336325860565331
08/21/2024,0.08339416830995944
08/20/2024,0.08600979998228456
08/19/2024,0.08470117169954185
08/16/2024,0.08722544828108145
08/15/2024,0.08593544580615786
08/14/2024,0.08469997600167348
08/13/2024,0.08601907569293502
08/12/2024,0.08599445528288326
08/09/2024,0.08592596772518055
08/08/2024,0.08468454365937311
08/07/2024,0.08590283235741733
08/06/2024,0.08595418770085377
08/05/2024,0.08479050962950402
08/02/2024,0.08966438620244424
08/01/2024,0.08700759141235073
07/31/2024,0.08704880237489616
07/30/2024,0.08703142218302964
07/29/2024,0.08706563212209675
07/26/2024,0.08581986793987487
07/25/2024,0.0858203076465894
07/24/2024,0.08579865744309756
07/23/2024,0.08580678872575638
07/22/2024,0.08582393539891478
07/19/2024,0.08706239941412128
07/18/2024,0.08835121271642846
07/17/2024,0.08837293892533384
07/16/2024,0.08837927774917191
07/15/2024,0.0896792046735677
07/12/2024,0.089663007988974
07/11/2024,0.08965680655263175
07/10/2024,0.08833786544990857
07/09/2024,0.0908888416665173
07/08/2024,0.08962409095564887
07/05/2024,0.09216601659756349
07/04/2024,0.09219764614287304
07/03/2024,0.09218005838070364
07/02/2024,0.09342206296391092
06/28/2024,0.09221004423520732
06/27/2024,0.09476026932405196
06/26/2024,0.0947641525139393
06/25/2024,0.09475850985840645
06/24/2024,0.09861541397341995
