Pricing Date,LTR | Share Price (Daily)($)
03/07/2025,0.400201676435369
03/06/2025,0.4167992363983456
03/05/2025,0.4161674758812031
03/04/2025,0.3875248015873016
03/03/2025,0.40901711002872493
02/28/2025,0.3973427702241261
02/27/2025,0.4220332624734276
02/26/2025,0.40455120101137804
02/25/2025,0.38624707148736787
02/24/2025,0.39109697933227344
02/21/2025,0.39209435766656037
02/20/2025,0.4027360480726203
02/19/2025,0.39639753916407683
02/18/2025,0.40335387156196406
02/17/2025,0.42024832855778416
02/14/2025,0.4070728914896323
02/13/2025,0.40955201310566447
02/12/2025,0.37266691719904793
02/11/2025,0.3777861730260672
02/10/2025,0.4144427001569859
02/07/2025,0.41024677439559065
02/06/2025,0.43049270990447464
02/05/2025,0.42471528345812626
02/04/2025,0.4160670712632172
02/03/2025,0.3959905952233634
01/31/2025,0.420954162768943
01/30/2025,0.4301477463998503
01/29/2025,0.42035122680283976
01/28/2025,0.4122938530734633
01/24/2025,0.4236216489630754
01/23/2025,0.4143906573742701
01/22/2025,0.441840060165455
01/21/2025,0.44178468479759364
01/20/2025,0.3945143715949652
01/17/2025,0.3946060154113845
01/16/2025,0.3607413857444956
01/15/2025,0.3608087091757387
01/14/2025,0.3342618384401115
01/13/2025,0.33534334235786367
01/10/2025,0.3409928729417548
01/09/2025,0.34666336511080853
01/08/2025,0.36943901151780445
01/07/2025,0.3558274548973094
01/06/2025,0.3498687992002999
01/03/2025,0.3537296760580861
01/02/2025,0.35353222105067295
12/31/2024,0.3248963425954577
12/30/2024,0.3355913243428003
12/27/2024,0.3419122218077832
12/24/2024,0.3426364315973088
12/23/2024,0.3334995636454307
12/20/2024,0.3314364329935589
12/19/2024,0.33802816901408456
12/18/2024,0.34676249921190344
12/17/2024,0.3515105453163595
12/16/2024,0.35016234799770807
12/13/2024,0.3781138790035587
12/12/2024,0.38616199655326483
12/11/2024,0.3819952887247724
12/10/2024,0.38865880853775087
12/09/2024,0.3942605997931748
12/06/2024,0.3993355057184845
12/05/2024,0.4185447520927238
12/04/2024,0.4473480947476827
12/03/2024,0.46296296296296297
12/02/2024,0.4617371649983855
11/29/2024,0.47541517421035495
11/28/2024,0.4809254565542341
11/27/2024,0.5028549182455231
11/26/2024,0.5036807438977141
11/25/2024,0.5162337662337663
11/22/2024,0.49935149156939046
11/21/2024,0.5144233899850231
11/20/2024,0.5223202699195433
11/19/2024,0.5283412693235927
11/18/2024,0.548131811105345
11/15/2024,0.5525397440868552
11/14/2024,0.5545106686555548
11/13/2024,0.5712431028886725
11/12/2024,0.5718206770356816
11/11/2024,0.5520504731861199
11/08/2024,0.5497037524687294
11/07/2024,0.5434782608695651
11/06/2024,0.5156670827038035
11/05/2024,0.5440552016985137
11/04/2024,0.5276696787810831
11/01/2024,0.5327545382794002
10/31/2024,0.5411965363421674
10/30/2024,0.5590634043672718
10/29/2024,0.5834917721104045
10/28/2024,0.6060206837494236
10/25/2024,0.5900682888019625
10/24/2024,0.5537869743997877
10/23/2024,0.5535299966854491
10/22/2024,0.5680679008220277
10/21/2024,0.5625832223701731
10/18/2024,0.5532828113473274
10/17/2024,0.5565240713423628
10/16/2024,0.5497434530552409
10/15/2024,0.563682727150718
10/14/2024,0.5612313482995026
10/11/2024,0.5640748496926299
10/10/2024,0.5616843804654917
10/09/2024,0.5311638539635581
10/08/2024,0.5614955282092663
10/07/2024,0.5952783602786986
10/04/2024,0.5023761031907671
10/03/2024,0.5270723526593196
10/02/2024,0.5543313593168986
10/01/2024,0.5401128388606027
09/30/2024,0.5581363100603204
09/27/2024,0.5434030181365084
09/26/2024,0.4995865490628445
09/25/2024,0.46911382002465424
09/24/2024,0.4639175257731959
09/23/2024,0.4316842538029327
09/20/2024,0.4376441850997421
09/19/2024,0.4527813712807245
09/18/2024,0.4398132485283172
09/17/2024,0.4391595162489021
09/16/2024,0.45154333468122393
09/13/2024,0.44975498422501176
09/12/2024,0.4787412119183127
09/11/2024,0.4585326953748006
09/10/2024,0.40582795555851237
09/09/2024,0.41223404255319146
09/06/2024,0.39767410773960704
09/05/2024,0.41997043408144064
09/04/2024,0.41016675632060245
09/03/2024,0.4368279569892473
09/02/2024,0.48184594502884287
08/30/2024,0.5076829350842753
08/29/2024,0.49235993208828527
08/28/2024,0.5223526219388102
08/27/2024,0.5389465121008745
08/26/2024,0.5318428184281844
08/23/2024,0.5363568470364587
08/22/2024,0.5434782608695652
08/21/2024,0.5670311867152693
08/20/2024,0.5323808882000135
08/19/2024,0.5175426804678048
08/16/2024,0.5243246830822327
08/15/2024,0.5170013919268245
08/14/2024,0.5289955696621041
08/13/2024,0.5352540804863544
08/12/2024,0.5672449046896643
08/09/2024,0.5753550762756444
08/08/2024,0.5585490866079642
08/07/2024,0.5770113435184578
08/06/2024,0.5759094162816425
08/05/2024,0.5636175174915781
08/02/2024,0.6025666080385643
08/01/2024,0.62911532694439
07/31/2024,0.6200639644931792
07/30/2024,0.5979610508430271
07/29/2024,0.620996208654726
07/26/2024,0.6321650835244021
07/25/2024,0.5992141453831041
07/24/2024,0.6370898527761273
07/23/2024,0.651799894123875
07/22/2024,0.6372386325921009
07/19/2024,0.67228577162352
07/18/2024,0.6658147824332503
07/17/2024,0.6427081230230837
07/16/2024,0.642016806722689
07/15/2024,0.6574488274366274
07/12/2024,0.6793016778751444
07/11/2024,0.6532629298673165
07/10/2024,0.6275303643724697
07/09/2024,0.6355504741408299
07/08/2024,0.6069598057728622
07/05/2024,0.6171174209212923
07/04/2024,0.6155812701829926
07/03/2024,0.6111484217595702
