Pricing Date,FLEXQ | Share Price (Daily)($)
03/07/2025,0.7863047943743466
03/06/2025,0.7850570892331787
03/05/2025,0.7419556388628553
03/04/2025,0.6435269071128705
03/03/2025,0.6932850123176804
02/28/2025,0.71753592571919
02/27/2025,0.6980341496920274
02/26/2025,0.6687772397208467
02/25/2025,0.7204148986327203
02/24/2025,0.7018748879862102
02/21/2025,0.6896376771424572
02/20/2025,0.6561341513139087
02/19/2025,0.7363914031882399
02/18/2025,0.7566578888123927
02/17/2025,0.7290414600270306
02/14/2025,0.7763532163939609
02/13/2025,0.7502258569798396
02/12/2025,0.7384915348346275
02/11/2025,0.7438058372188291
02/10/2025,0.7349915549287048
02/07/2025,0.768295728001361
02/06/2025,0.7740080041965173
02/05/2025,0.8084393720998386
02/04/2025,0.789511350821101
02/03/2025,0.7910866113984795
01/31/2025,0.7925521808756073
01/30/2025,0.8176161764452048
01/29/2025,0.8457874781618583
01/28/2025,0.8265093331977009
01/27/2025,0.8584272295313611
01/24/2025,0.8597222858714083
01/23/2025,0.8188179246687509
01/22/2025,0.8533174531560492
01/21/2025,0.827050927251328
01/20/2025,0.8159764563593124
01/17/2025,0.7865043732509682
01/16/2025,0.8022650076951034
01/15/2025,0.806825384160942
01/14/2025,0.7989761665588256
01/13/2025,0.7923249063877871
01/10/2025,0.8010238865322963
01/09/2025,0.8641578002343266
01/08/2025,0.825795634389283
01/07/2025,0.8464586959673447
01/03/2025,0.847001193174717
01/02/2025,0.8893686379211725
12/30/2024,0.8510684530653856
12/27/2024,0.8821060691625722
12/23/2024,0.9041673071185091
12/20/2024,0.853059579859082
12/19/2024,0.8536995159342107
12/18/2024,0.866005281720634
12/17/2024,0.8313782241030252
12/16/2024,0.8249199140250134
12/13/2024,0.7738021542651975
12/12/2024,0.7283069231035343
12/11/2024,0.7792061200450774
12/10/2024,0.8121450279789425
12/09/2024,0.8256395954732934
12/06/2024,0.8117158261682156
12/05/2024,0.8349694013140653
12/04/2024,0.8417377492847515
12/03/2024,0.816906701085669
12/02/2024,0.835592612271404
11/29/2024,0.8060187619185446
11/28/2024,0.7665940628296105
11/27/2024,0.7472459043415354
11/26/2024,0.767960610701159
11/25/2024,0.7790309619303223
11/22/2024,0.7836092065054008
11/21/2024,0.7794422557167388
11/20/2024,0.783774244056077
11/19/2024,0.7935644483127157
11/18/2024,0.7848161796243468
11/15/2024,0.7746484007611604
11/14/2024,0.7313650471501905
11/13/2024,0.7524385933588641
11/12/2024,0.7417534869281973
11/11/2024,0.7646337542503964
11/08/2024,0.7867355645104694
11/07/2024,0.8027060527769896
11/06/2024,0.8665918693400719
11/05/2024,0.8837858921239357
11/04/2024,0.8524089431904955
11/01/2024,0.8573667843060873
10/31/2024,0.8497544321993292
10/30/2024,0.8884382137143746
10/29/2024,0.8800950277445736
10/28/2024,0.8799895454233491
10/25/2024,0.8218572462303203
10/24/2024,0.818571941698017
10/23/2024,0.8488844243856198
10/22/2024,0.8165846442207172
10/21/2024,0.8031459073654542
10/18/2024,0.8469965332014094
10/17/2024,0.8249280326321761
10/16/2024,0.8425948872409783
10/15/2024,0.8810564194214139
10/14/2024,0.8653747446808714
10/11/2024,0.8431516119727529
10/10/2024,0.880614276526342
10/09/2024,0.8473107512180094
10/08/2024,0.8698134240562235
10/07/2024,0.8726112989649323
10/04/2024,0.8663601035396586
10/03/2024,0.8742546542914078
10/02/2024,0.8802559753216731
10/01/2024,0.8755434449521516
09/30/2024,0.8380717251361375
09/27/2024,0.8915684372885622
09/26/2024,0.8805359990818681
09/25/2024,0.8578793066131476
09/24/2024,0.875133467731182
09/23/2024,0.8838945572719479
09/20/2024,0.9118120258418485
09/19/2024,0.8675517924485617
09/18/2024,0.8888566223252137
09/17/2024,0.8830637208969181
09/16/2024,0.8880585530526768
09/13/2024,0.9170249203481559
09/12/2024,0.8642606889281618
09/11/2024,0.9245820359489052
09/10/2024,0.9589066153966129
09/09/2024,0.9614847328170733
09/06/2024,0.9984448612478223
09/05/2024,0.9978145427819071
09/04/2024,1.001931880305132
09/03/2024,0.9461627574440034
09/02/2024,1.048209852587567
08/30/2024,1.0719962421659002
08/29/2024,1.0248801866258015
08/28/2024,1.035762777925588
08/27/2024,1.0566419035674197
08/26/2024,1.0780815245248845
08/23/2024,1.13178839296874
08/22/2024,1.1666481174497365
08/21/2024,1.1759829012086163
08/20/2024,1.2048780487804878
08/19/2024,1.1372027908408235
08/16/2024,1.137304540652689
08/15/2024,1.141590520993374
08/14/2024,0.981261260571295
08/13/2024,0.9801066888951058
08/12/2024,1.0079121100640023
08/09/2024,1.0129775261662082
08/08/2024,0.9921115266270392
08/07/2024,0.9959482145234148
08/06/2024,0.9866320839472115
08/05/2024,0.9680358363070382
08/02/2024,0.9691919870043174
08/01/2024,1.0275812139470795
07/31/2024,1.0634179559054677
07/30/2024,1.019252758005304
07/29/2024,0.9696078721077983
07/26/2024,0.9985834908259766
07/25/2024,0.9859686934109517
07/24/2024,0.9389837221128807
07/23/2024,0.9752264615161705
07/22/2024,0.9881644007249025
07/19/2024,0.9545788903301159
07/18/2024,0.9689327088049988
07/17/2024,0.9958487334226752
07/16/2024,1.0546715357335898
07/15/2024,1.0395103717147336
07/12/2024,1.0444736897077562
07/11/2024,1.1158404519821428
07/10/2024,1.0908942581966474
07/09/2024,0.9701460046074838
07/08/2024,0.9721251414323528
07/05/2024,0.9308651418663273
07/04/2024,0.9857631044585065
07/03/2024,0.9874748122366734
07/02/2024,0.9414139284073536
07/01/2024,0.8855122857779395
