Pricing Date,EXE | Share Price (Daily)($)
03/07/2025,43.8558402084238
03/06/2025,44.4011262724713
03/05/2025,44.17627410839349
03/04/2025,44.01853411962931
03/03/2025,43.87530177390574
02/28/2025,44.22016439496411
02/27/2025,44.22476586888658
02/26/2025,45.187053383774696
02/25/2025,45.04409911801764
02/24/2025,44.91676264265522
02/21/2025,44.941471571906355
02/20/2025,44.7886144830473
02/19/2025,43.91716099490062
02/18/2025,45.193011821320226
02/17/2025,45.478361102378706
02/14/2025,45.378151260504204
02/13/2025,45.4308093994778
02/12/2025,45.873459666563114
02/11/2025,47.180548370408694
02/10/2025,46.808949376224355
02/07/2025,47.05274043433299
02/06/2025,47.1052085494916
02/05/2025,46.87988332117929
02/04/2025,46.27516082174726
02/03/2025,46.01258640255855
01/31/2025,46.149048955410045
01/30/2025,46.492233920567074
01/29/2025,45.41666666666667
01/28/2025,47.24163103556158
01/27/2025,47.99411888258769
01/24/2025,48.154768163179476
01/23/2025,48.099947943779284
01/22/2025,47.703364232892405
01/21/2025,47.544735746982944
01/20/2025,46.58901830282861
01/17/2025,45.48729031594113
01/16/2025,46.32489190858555
01/15/2025,46.91840724354358
01/14/2025,47.86905497220506
01/13/2025,47.22562219502243
01/10/2025,47.07808822024357
01/09/2025,47.76611076796377
01/08/2025,46.78965268473668
01/07/2025,46.85394423136727
01/06/2025,45.1995012468828
01/03/2025,44.25689584191025
01/02/2025,43.9954876422931
12/31/2024,44.518066052386374
12/30/2024,44.71882133222661
12/27/2024,44.94733548858067
12/24/2024,45.298701298701296
12/23/2024,45.4356415055105
12/20/2024,45.41666666666667
12/19/2024,44.74667774086379
12/18/2024,45.26878340144609
12/17/2024,45.249343832021
12/16/2024,44.642857142857146
12/13/2024,44.0852314474651
12/12/2024,43.84308789595132
12/11/2024,43.93415120058719
12/10/2024,43.81172515234293
12/09/2024,44.11764705882353
12/06/2024,44.38338793194547
12/05/2024,44.39277032026212
12/04/2024,44.229149115417016
12/03/2024,44.570587616945225
12/02/2024,45.125406653373915
11/29/2024,46.10677358092425
11/28/2024,45.99641312374723
11/27/2024,47.096092925026404
11/26/2024,47.64397905759162
11/25/2024,48.74724813921795
11/22/2024,48.648648648648646
11/21/2024,49.197524388964645
11/20/2024,49.00105152471084
11/19/2024,48.91994917407878
11/18/2024,48.303561991332835
11/15/2024,47.895347610507436
11/14/2024,47.39737621667371
11/13/2024,47.90609137055837
11/12/2024,49.336870026525204
11/11/2024,50.165086803706465
11/08/2024,50.63291139240507
11/07/2024,50.91144428864201
11/06/2024,50.761966087143165
11/05/2024,51.861556938530406
11/04/2024,51.932498639085466
11/01/2024,51.746582772835765
10/31/2024,52.11726384364821
10/30/2024,51.47697654213727
10/29/2024,51.19896305897603
10/28/2024,51.20155877895648
10/25/2024,51.19047619047619
10/24/2024,51.306977748973864
10/23/2024,51.32075471698113
10/22/2024,51.79498269896194
10/21/2024,51.43475906876015
10/18/2024,51.68856553371702
10/17/2024,51.218191662154844
10/16/2024,51.664128779638894
10/15/2024,52.12649945474372
10/14/2024,52.154937261320235
10/11/2024,53.10412788787912
10/10/2024,54.29913689500711
10/09/2024,54.43592552026288
10/08/2024,54.39789427506032
10/07/2024,54.43968828888157
10/04/2024,55.4702916027187
10/03/2024,55.733010243418875
10/02/2024,55.880728879072336
10/01/2024,56.453398273190174
09/30/2024,55.43163060450592
09/27/2024,52.24963715529753
09/26/2024,52.866882753995746
09/25/2024,52.66681544298148
09/24/2024,52.402720481659046
09/23/2024,52.8835448675128
09/20/2024,53.018489641345504
09/19/2024,52.79572287814657
09/18/2024,52.47359644246804
09/17/2024,52.25125069483046
09/16/2024,52.5027808676307
09/13/2024,52.112207561813946
09/12/2024,51.86493047892297
09/11/2024,51.09006826690156
09/10/2024,51.59298864513284
09/09/2024,50.67903279231534
09/06/2024,50.0777259604708
09/05/2024,51.77383592017738
09/04/2024,52.52659574468085
09/03/2024,52.88143077942151
09/02/2024,52.77716308917902
08/30/2024,52.64904324742838
08/29/2024,52.06025697828976
08/28/2024,52.52615179167594
08/27/2024,52.13799263146143
08/26/2024,52.26130653266331
08/23/2024,52.71994627266622
08/22/2024,53.315561479506826
08/21/2024,53.428317008014254
08/20/2024,53.2918840901521
08/19/2024,52.53843601371529
08/16/2024,52.209276764123985
08/15/2024,52.72407732864674
08/14/2024,53.36861837027235
08/13/2024,53.1273962098806
08/12/2024,53.47184253690541
08/09/2024,53.42510652245166
08/08/2024,53.45843334060659
08/07/2024,54.21950153038916
08/06/2024,54.11610364053788
08/05/2024,54.64121132323897
08/02/2024,55.03986021622802
08/01/2024,55.00431406384814
07/31/2024,55.41125541125541
07/30/2024,56.17370638435778
07/29/2024,56.277056277056275
07/26/2024,56.23710780588427
07/25/2024,56.24932131610381
07/24/2024,56.00781504395962
07/23/2024,56.01389491967
07/22/2024,56.16020896821943
07/19/2024,56.17855198693522
07/18/2024,56.06457242582897
07/17/2024,56.42427556041553
07/16/2024,56.154097290238326
07/15/2024,56.31958087753766
07/12/2024,56.27044711014177
07/11/2024,56.09305359278182
07/10/2024,55.856245940679806
07/09/2024,56.85871797643498
07/08/2024,57.20476706392199
07/05/2024,57.37793655948901
07/04/2024,57.29729729729729
07/03/2024,56.17977528089887
07/02/2024,56.68885548636461
07/01/2024,56.61591250268068
06/28/2024,56.573449051751844
06/27/2024,56.31088748527995
06/26/2024,55.32414824308448
06/25/2024,54.80038531520925
06/24/2024,54.71515931766977
06/21/2024,53.41880341880342
06/20/2024,53.579082726103735
06/19/2024,53.16863587540279
06/18/2024,52.84072602298357
06/17/2024,52.21960111516192
06/14/2024,53.05380254572682
06/13/2024,58.557588805166844
06/12/2024,59.00856925913874
06/11/2024,58.77936286603025
06/10/2024,59.08895573700043
06/07/2024,61.82447038478167
06/06/2024,62.02393906420021
06/05/2024,61.936325111376725
