Pricing Date,PLL | Share Price (Daily)($)
03/05/2025,0.06936124598020052
03/04/2025,0.062003968253968256
03/03/2025,0.0686898963407019
02/28/2025,0.06829328863227167
02/27/2025,0.07346504939352258
02/26/2025,0.07743362831858407
02/25/2025,0.07598303045653138
02/24/2025,0.07631160572337042
02/21/2025,0.08288173414089894
02/20/2025,0.07671162820430863
02/19/2025,0.07927950783281537
02/18/2025,0.08257638315441784
02/17/2025,0.08277618592804839
02/14/2025,0.07950642411906882
02/13/2025,0.07876000252032009
02/12/2025,0.07829136915946386
02/11/2025,0.078705452713764
02/10/2025,0.0816326530612245
02/07/2025,0.08142302392584241
02/06/2025,0.08169934640522876
02/05/2025,0.08179701755489839
02/04/2025,0.07507977225802415
02/03/2025,0.07734191312956316
01/31/2025,0.08107265357031494
01/30/2025,0.08415934168692725
01/29/2025,0.0871839581517001
01/28/2025,0.0843328335832084
01/24/2025,0.08219524532119374
01/23/2025,0.0816224022100835
01/22/2025,0.08460767109551268
01/21/2025,0.08459706730166687
01/20/2025,0.08453879391320684
01/17/2025,0.08699975142928164
01/16/2025,0.08707550690384379
01/15/2025,0.08398133748055989
01/14/2025,0.0866604766326215
01/13/2025,0.08306669948314054
01/10/2025,0.08601622020152372
01/09/2025,0.08666584127770213
01/08/2025,0.09003135574803638
01/07/2025,0.09676009738435606
01/06/2025,0.09371485692865175
01/03/2025,0.08998386496214471
01/02/2025,0.08683247534577933
12/31/2024,0.08973327557398354
12/30/2024,0.09321981231744453
12/27/2024,0.09324878776575905
12/24/2024,0.08410166957388487
12/23/2024,0.08727091385114076
12/20/2024,0.09067600525295479
12/19/2024,0.08763693270735526
12/18/2024,0.09772397705062733
12/17/2024,0.10133637342453607
12/16/2024,0.09868211625389954
12/13/2024,0.11120996441281138
12/12/2024,0.11489117252824409
12/11/2024,0.11778188069013816
12/10/2024,0.1210576616756929
12/09/2024,0.11633919338159257
12/06/2024,0.11500862564692353
12/05/2024,0.11590470057952351
12/04/2024,0.11585993820803295
12/03/2024,0.11978761978761979
12/02/2024,0.12269938650306748
11/29/2024,0.11722565939433409
11/28/2024,0.11698186781048936
11/27/2024,0.11679211004412147
11/26/2024,0.12592018597442853
11/25/2024,0.12662337662337664
11/22/2024,0.11997405966277562
11/21/2024,0.10418701569316924
11/20/2024,0.12003633532312485
11/19/2024,0.12067053682082056
11/18/2024,0.12000518941359625
11/15/2024,0.11955538322347162
11/14/2024,0.12971009793112395
11/13/2024,0.12658227848101267
11/12/2024,0.12089922885897268
11/11/2024,0.11829652996845426
11/08/2024,0.1217906517445688
11/07/2024,0.12670045345425446
11/06/2024,0.13466465217105694
11/05/2024,0.1326963906581741
11/04/2024,0.13521535518765251
11/01/2024,0.1282557221783741
10/31/2024,0.13447913933350825
10/30/2024,0.1282557221783741
10/29/2024,0.1343997902052055
10/28/2024,0.11856926421184374
10/25/2024,0.12265464430153153
10/24/2024,0.10943095901313171
10/23/2024,0.11932383162081538
10/22/2024,0.10358885250284035
10/21/2024,0.11318242343541945
10/18/2024,0.11400979142914626
10/17/2024,0.12404452192570739
10/16/2024,0.13660291863796895
10/15/2024,0.13085491880284525
10/14/2024,0.1445086705202312
10/11/2024,0.13510774842937243
10/10/2024,0.13789856047356383
10/09/2024,0.12438647213070664
10/08/2024,0.13112769820455922
10/07/2024,0.12176148278427924
10/04/2024,0.09843856076035301
10/03/2024,0.10267643233623108
10/02/2024,0.08951934995179728
10/01/2024,0.08944543828264757
09/30/2024,0.09360049920266243
09/27/2024,0.09691264017721168
09/26/2024,0.08958103638368246
09/25/2024,0.08560471168333106
09/24/2024,0.07560137457044673
09/23/2024,0.07194737563382211
09/20/2024,0.07463699280770796
09/19/2024,0.07489616667801458
09/18/2024,0.07442993436633061
09/17/2024,0.07094115262482265
09/16/2024,0.07413398032079795
09/13/2024,0.07384037054440491
09/12/2024,0.07365249414127888
09/11/2024,0.06977671451355662
09/10/2024,0.06652917304237908
09/09/2024,0.06648936170212766
09/06/2024,0.07351958294345677
09/05/2024,0.07727455987098508
09/04/2024,0.07732651963421194
09/03/2024,0.08064516129032258
09/02/2024,0.08822531387852053
08/30/2024,0.08630609896432681
08/29/2024,0.07809847198641767
08/28/2024,0.08479750356149515
08/27/2024,0.08812961833096061
08/26/2024,0.09146341463414635
08/23/2024,0.08826125330979699
08/22/2024,0.09057971014492754
08/21/2024,0.08437964088024841
08/20/2024,0.08760698160253387
08/19/2024,0.07393466863825783
08/16/2024,0.07964425565806066
08/15/2024,0.0729104527076291
08/14/2024,0.07604311313892746
08/13/2024,0.07268882574506046
08/12/2024,0.085746322801926
08/09/2024,0.08876906891109944
08/08/2024,0.08871073728479432
08/07/2024,0.0917972591961183
08/06/2024,0.09435803995574933
08/05/2024,0.0842187095102358
08/02/2024,0.09119927040583677
08/01/2024,0.0977899471934285
07/31/2024,0.09790483649892305
07/30/2024,0.09802640177754542
07/29/2024,0.10458883514184861
07/26/2024,0.10481493612839829
07/25/2024,0.10478061558611657
07/24/2024,0.10893246187363836
07/23/2024,0.10918475383800952
07/22/2024,0.11284434118818454
07/19/2024,0.11371998126965016
07/18/2024,0.11769453224830183
07/17/2024,0.12450366781075443
07/16/2024,0.11428571428571428
07/15/2024,0.11861190185712349
07/12/2024,0.11208477684939883
07/11/2024,0.10831302464121309
07/10/2024,0.10121457489878542
07/09/2024,0.10088102764140157
07/08/2024,0.10453196654977072
07/05/2024,0.10453901665879814
07/04/2024,0.10091496232508074
07/03/2024,0.09738079247817326
07/02/2024,0.0965315225351175
