observation_date,CPMNACSCAB1GQEU272020
2019-10-01,3569677.5
2020-01-01,3484944.5
2020-04-01,3132469.1
2020-07-01,3454613.4
2020-10-01,3498585.6
2021-01-01,3549566.4
2021-04-01,3642858.6
2021-07-01,3750436.1
2021-10-01,3833936.9
2022-01-01,3911568.9
2022-04-01,4002246.6
2022-07-01,4076506.5
2022-10-01,4144581.5
2023-01-01,4230893.0
2023-04-01,4285945.2
2023-07-01,4315773.3
2023-10-01,4373343.4
2024-01-01,4420209.5
2024-04-01,4455325.6
2024-07-01,4503530.8
2024-10-01,4554634.3
