Pricing Date,532509 | Share Price (Daily)($)
03/07/2025,4.724208815538929
03/06/2025,4.677047594316534
03/05/2025,4.5906194142284455
03/04/2025,4.466407734519336
03/03/2025,4.459425076845143
02/28/2025,4.590314305288212
02/27/2025,4.470572879097023
02/25/2025,4.556419036777262
02/24/2025,4.668464582330805
02/21/2025,4.807675651080312
02/20/2025,4.906350121488924
02/19/2025,4.822396354724016
02/18/2025,4.825438260287075
02/17/2025,4.832483872527908
02/14/2025,4.647420543076371
02/13/2025,4.826942770945391
02/12/2025,4.65671270832662
02/11/2025,4.625798912580007
02/10/2025,4.806092519853863
02/07/2025,4.802182250285953
02/06/2025,4.849879252564813
02/05/2025,4.74102399706906
02/04/2025,4.770863050733776
02/03/2025,4.629565745353186
02/01/2025,4.640972946622169
01/31/2025,4.682559760829611
01/30/2025,4.53815585795809
01/29/2025,4.485891343666715
01/28/2025,4.499747542729981
01/27/2025,4.528556592774917
01/24/2025,4.563433818606696
01/23/2025,4.616550399703838
01/22/2025,4.662751543936399
01/21/2025,4.674463991712452
01/20/2025,4.634607777974971
01/17/2025,4.615610267639565
01/16/2025,4.675260785665537
01/15/2025,4.741464611453351
01/14/2025,4.767924785582054
01/13/2025,4.685558858440062
01/10/2025,4.969860463172655
01/09/2025,5.0745375458728414
01/08/2025,5.224612956062263
01/07/2025,5.131756268390154
01/06/2025,5.204456195292245
01/03/2025,5.324202243916655
01/02/2025,5.495203645439295
01/01/2025,5.533092892678547
12/31/2024,5.349405699489131
12/30/2024,5.300415354185649
12/27/2024,5.4339748068615785
12/26/2024,5.439652462738733
12/24/2024,5.522166741610499
12/23/2024,5.531146335072074
12/20/2024,5.550017242657747
12/19/2024,5.623192083823865
12/18/2024,5.786098751932431
12/17/2024,5.753359806678632
12/16/2024,5.9257139357622695
12/13/2024,5.885973051262492
12/12/2024,5.982904975797368
12/11/2024,5.980272942464126
12/10/2024,5.917219030785094
12/09/2024,5.884696019242078
12/06/2024,5.906357895532327
12/05/2024,5.874791513953958
12/04/2024,5.736326130709618
12/03/2024,5.626738250723632
12/02/2024,5.473147590894608
11/29/2024,5.486209395843014
11/28/2024,5.55834456171426
11/27/2024,5.455596502637474
11/26/2024,5.349944121883104
11/25/2024,5.265050460936684
11/22/2024,5.339144292461262
11/21/2024,5.31327057509454
11/19/2024,5.401965234478239
11/18/2024,5.438130894270414
11/14/2024,5.3659668746425355
11/13/2024,5.21558872305141
11/12/2024,5.766974412458373
11/11/2024,5.95475734941329
11/08/2024,6.09835599227186
11/07/2024,6.169134636826449
11/06/2024,6.269945649402476
11/05/2024,6.223097140941559
11/04/2024,6.266891369921297
11/01/2024,6.213862003256806
10/31/2024,6.101520355447306
10/30/2024,5.82662577723026
10/29/2024,5.743270970343383
10/28/2024,5.777517695320538
10/25/2024,5.734995064752821
10/24/2024,5.8398154095007015
10/23/2024,5.808193435974286
10/22/2024,5.887886925929537
10/21/2024,5.984195966213049
10/18/2024,5.98769984773506
10/17/2024,6.043839696981233
10/16/2024,6.277084091866383
10/15/2024,6.29220727466951
10/14/2024,5.975922646058614
10/11/2024,6.0055596905787265
10/10/2024,6.0353318509502305
10/09/2024,6.040669713997155
10/08/2024,5.984618975487534
10/07/2024,5.951629763149184
10/04/2024,6.009922918275759
10/03/2024,6.054734226090226
10/01/2024,6.161241898589401
09/30/2024,6.190433563094918
09/27/2024,6.31479082927482
09/26/2024,6.338392806961529
09/25/2024,6.331597218068677
09/24/2024,6.3183425682633345
09/23/2024,6.334537803157155
09/20/2024,6.308908391800156
09/19/2024,6.256994729441473
09/18/2024,6.366967783884054
09/17/2024,6.394234327143209
09/16/2024,6.297262262101106
09/13/2024,6.3539066392959915
09/12/2024,6.3611594596558705
09/11/2024,6.358225269301799
09/10/2024,6.589030508652196
09/09/2024,6.053874420072778
09/06/2024,6.212530359863396
09/05/2024,6.237193126169064
09/04/2024,6.221138892924252
09/03/2024,6.228956429462131
09/02/2024,6.2803245102491045
08/30/2024,6.2562604340567605
08/29/2024,6.216767209518587
08/28/2024,6.331677689071676
08/27/2024,6.52339152024628
08/26/2024,6.812024839506644
08/23/2024,6.746784106488105
08/22/2024,6.738520396009414
08/21/2024,6.864696696983061
08/20/2024,6.855955678670361
08/19/2024,6.946432149297308
08/16/2024,7.384938111215072
08/14/2024,6.418412594027511
08/13/2024,6.225514960299683
08/12/2024,6.219148449560693
08/09/2024,5.892311046355786
08/08/2024,5.835065174801856
08/07/2024,5.950281247020688
08/06/2024,5.835537446088594
08/05/2024,5.728326897790893
08/02/2024,6.1603357406837445
08/01/2024,6.145149983220414
07/31/2024,6.219454036280448
07/30/2024,6.27170042985812
07/29/2024,6.4764272137692585
07/26/2024,6.472219435646828
07/25/2024,6.399767020790291
07/24/2024,6.387553378923164
07/23/2024,6.3059176681607925
07/22/2024,6.300406840270972
07/19/2024,6.186465985785103
07/18/2024,6.391785610949968
07/16/2024,6.1912631804435785
07/15/2024,6.174021364662748
07/12/2024,6.382140543595527
07/11/2024,6.444705005934495
07/10/2024,6.455634503662844
07/09/2024,6.29845541443226
07/08/2024,6.284707869812913
07/05/2024,6.283835577061275
07/04/2024,6.2838516687682695
07/03/2024,6.242521013033651
07/02/2024,6.232942523943365
07/01/2024,6.1908932643033365
06/28/2024,6.121055952629444
06/27/2024,6.165331543849347
06/26/2024,6.159589360709286
06/25/2024,6.157672369879843
06/24/2024,6.097444070315028
06/21/2024,6.146192519280882
06/20/2024,6.094178520277266
06/19/2024,6.12860724043634
06/18/2024,6.232680334456988
06/14/2024,6.160603024459264
06/13/2024,6.128499798310114
06/12/2024,5.974656241574548
06/11/2024,5.85941703553314
06/10/2024,5.750532135221007
06/07/2024,5.7057283620625645
06/06/2024,5.555662031757593
