Pricing Date,SYR | Share Price (Daily)($)
03/07/2025,0.14495493792147224
03/06/2025,0.14953865733375757
03/05/2025,0.1450280597767829
03/04/2025,0.142609126984127
03/03/2025,0.14362432871237668
02/28/2025,0.13348233687216737
02/27/2025,0.1406777541578092
02/26/2025,0.14538558786346398
02/25/2025,0.15196606091306275
02/24/2025,0.15262321144674085
02/21/2025,0.1562001912655403
02/20/2025,0.15022693856677105
02/19/2025,0.1522166550390055
02/18/2025,0.15562472209871053
02/17/2025,0.1591849729385546
02/14/2025,0.15583259127337487
02/13/2025,0.15752000504064018
02/12/2025,0.1503194287861706
02/11/2025,0.157410905427528
02/10/2025,0.15070643642072212
02/07/2025,0.15345108355254916
02/06/2025,0.1476872800402212
02/05/2025,0.14786383942616246
02/04/2025,0.14390289682787963
02/03/2025,0.14230912015839622
01/31/2025,0.143436233239788
01/30/2025,0.1371485568231407
01/29/2025,0.14323078839207873
01/28/2025,0.14055472263868066
01/24/2025,0.14542235710672738
01/23/2025,0.14440886544860929
01/22/2025,0.15668087239909753
01/21/2025,0.1597944604587041
01/20/2025,0.159684388502724
01/17/2025,0.16157096694009446
01/16/2025,0.14927229754944646
01/15/2025,0.15241057542768274
01/14/2025,0.14546580006190035
01/13/2025,0.14767413241447205
01/10/2025,0.13824035389530598
01/09/2025,0.13309397053361396
01/08/2025,0.13659929837633109
01/07/2025,0.1373369124165054
01/06/2025,0.13432462826440084
01/03/2025,0.13032145960034752
01/02/2025,0.13334987285244682
12/31/2024,0.12686428615632156
12/30/2024,0.11807842893542973
12/27/2024,0.11189854531891086
12/24/2024,0.11213555943184648
12/23/2024,0.11220546066575239
12/20/2024,0.10943655806391095
12/19/2024,0.10954616588419405
12/18/2024,0.11348590883298657
12/17/2024,0.11400342010260307
12/16/2024,0.11778188069013816
12/13/2024,0.11438739196746313
12/12/2024,0.12127401544647987
12/11/2024,0.16871458585344115
12/10/2024,0.15610066900286715
12/09/2024,0.15511892450879008
12/06/2024,0.15334483419589803
12/05/2024,0.16419832582099164
12/04/2024,0.1609165808444902
12/03/2024,0.14245014245014245
12/02/2024,0.14530190506942203
11/29/2024,0.14327580592640835
11/28/2024,0.14297783843504255
11/27/2024,0.14923436283415523
11/26/2024,0.13883507684360066
11/25/2024,0.14285714285714285
11/22/2024,0.14591439688715954
11/21/2024,0.14976883505893077
11/20/2024,0.1524785881131586
11/19/2024,0.15002282956102017
11/18/2024,0.15243902439024387
11/15/2024,0.14540519581233036
11/14/2024,0.15240936506907063
11/13/2024,0.1557935735150925
11/12/2024,0.16010978956999083
11/11/2024,0.1708727655099895
11/08/2024,0.17445687952600397
11/07/2024,0.18338223526273673
11/06/2024,0.19707022268935162
11/05/2024,0.19240976645435243
11/04/2024,0.18468438757337907
11/01/2024,0.1907392791370692
10/31/2024,0.19679874048806087
10/30/2024,0.18416206261510132
10/29/2024,0.18684848882187108
10/28/2024,0.18773466833541927
10/25/2024,0.19226944241861696
10/24/2024,0.16248839368616527
10/23/2024,0.16241299303944315
10/22/2024,0.1704203702466083
10/21/2024,0.1731025299600533
10/18/2024,0.1710146871437194
10/17/2024,0.17768539627195923
10/16/2024,0.18324781768508033
10/15/2024,0.19124949671185074
10/14/2024,0.18819733835192903
10/11/2024,0.1925285415118557
10/10/2024,0.1984393919009821
10/09/2024,0.18153701337995024
10/08/2024,0.19501042297088292
10/07/2024,0.20970033146181427
10/04/2024,0.20027155465037336
10/03/2024,0.2087754124170032
10/02/2024,0.23068447872193915
10/01/2024,0.17545066740057794
09/30/2024,0.1733342577827082
09/27/2024,0.17998061747196456
09/26/2024,0.17571664829106945
09/25/2024,0.17463361183399537
09/24/2024,0.1683848797250859
09/23/2024,0.15417294778676166
09/20/2024,0.15945175736192155
09/19/2024,0.1531967045686662
09/18/2024,0.145476689897828
09/17/2024,0.1486386054996284
09/16/2024,0.151637687019814
09/13/2024,0.14768074108880982
09/12/2024,0.15065282892534315
09/11/2024,0.13290802764486975
09/10/2024,0.1297318874326392
09/09/2024,0.13630319148936168
09/06/2024,0.14035556743750835
09/05/2024,0.134390538906061
09/04/2024,0.13784292630446476
09/03/2024,0.14784946236559138
09/02/2024,0.1493043773328809
08/30/2024,0.15230488052528263
08/29/2024,0.16638370118845502
08/28/2024,0.18316260769282955
08/27/2024,0.16609043454681038
08/26/2024,0.16937669376693767
08/23/2024,0.14936519790888722
08/22/2024,0.14761137949543746
08/21/2024,0.15525853921965707
08/20/2024,0.1516274681582317
08/19/2024,0.14786933727651566
08/16/2024,0.15265149001128295
08/15/2024,0.14250679392854776
08/14/2024,0.14878000396746677
08/13/2024,0.1453776514901209
08/12/2024,0.15500296814194311
08/09/2024,0.15452393477117307
08/08/2024,0.15113681167039034
08/07/2024,0.15736673005048848
08/06/2024,0.15617882475434372
08/05/2024,0.15548069448043533
08/02/2024,0.16285584001042278
08/01/2024,0.18254123476106657
07/31/2024,0.1697017165981333
07/30/2024,0.1699124297477454
07/29/2024,0.17649365930186953
07/26/2024,0.17359973796265968
07/25/2024,0.17354289456450558
07/24/2024,0.19805902158843336
07/23/2024,0.1985177342509264
07/22/2024,0.2024560238964487
07/19/2024,0.21740584654491943
07/18/2024,0.2051247562041832
07/17/2024,0.21199273167777108
07/16/2024,0.2084033613445378
07/15/2024,0.21689033482445438
07/12/2024,0.22077304530942193
07/11/2024,0.2132412672623883
07/10/2024,0.20917678812415655
07/09/2024,0.21521285896832335
07/08/2024,0.21580793094146214
07/05/2024,0.2259391650367573
07/04/2024,0.22537674919268033
07/03/2024,0.22834116856950973
