Date,Panasonic_Share_Price,Magna_Share_Price,Strattec_Share_Price,PHA_Share_Price,Syrah_Share_Price,Amperex_Share_Price,Kongsberg_Share_Price,FlexQube_Share_Price,Ganfeng_Lithium_Share_Price,Suprajit_Share_Price,Core_Lithium_Share_Price,Liontown_Share_Price,MS_Industrie_Share_Price,Pirelli_Share_Price,EXEL_Share_Price,EVgo_Share_Price,JinFu_Share_Price,Piedmont_Lithium_Share_Price,Yusei_Share_Price,Ayvens_Share_Price,STM_Share_Price,EVA_Share_Price,Samsung_Share_Price,BP_Share_Price,WTI_Oil_Price,Brent_Oil_Price,USD_CNY_Rate,EUR_USD_Rate,Aluminum_Spot_Rate,Cobalt_Spot_Rate,Nickel_Spot_Rate,Copper_Spot_Rate,Lithium_Spot_Rate,10Y_Bond_Yield,Consumer_Confidence_Index,Consumer_Sentiment_Index,Unemployment_Rate,CPI_Auto,CPI_New_Vehicles,US_Interest_Rate,Manufacturing_PMI,GSCPI,US_GDP,China_GDP,EU_GDP,Credit_Delinquency_Rate
1609718400000000000,11.55777919987589,69.83985067369379,47.75,8.891960377793135,0.7487904154826818,34.74640510129854,0.4061705143616977,3.4998772612488245,12.306617294268776,2.764094555438608,0.1305583288533906,0.3187159204362184,1.8898024297459808,5.349122591729047,76.08295496379924,10.53,1.931559641547105,0.2841563627985561,0.1418694001890732,13.94036078046386,38.949564363725614,0.0773833091940399,165.860400829302,3.458679314515581,47.47,50.37,6.4601,1.2254,2028.25,33000.0,17349.5,7844.0,8450.0,0.93,99.05231,79.0,6.4,310.662,149.377,0.09,53.6,1.3359722293354428,22656.793,255055.2,3549566.4,1.88
1609804800000000000,11.977184461294376,72.51101806097839,48.75,8.717161221506009,0.7890461824089116,34.58617874343766,0.4491723822480489,3.4145050613940207,13.108087900515692,2.7340369833182736,0.1547149377272375,0.3326371161135608,1.9218961070858405,5.265872528552131,75.4021859265627,10.59,1.9032722654979632,0.3094298754544751,0.141873608671315,13.827827581972246,39.32211715583937,0.0735163244933177,165.5157193956837,3.709047353305476,49.78,53.16,6.455,1.2295,2036.5,34000.0,17628.75,7994.5,8450.0,0.96,99.05231,79.0,6.4,310.662,149.377,0.09,53.6,1.3359722293354428,22656.793,255055.2,3549566.4,1.88
1609891200000000000,12.017183992569084,75.13094159807821,50.6,8.757983733860222,0.9175738724727838,34.98248146256134,0.490556054481974,3.4145050613940207,13.362656852273256,2.9897103111513323,0.1866251944012441,0.3343701399688958,1.915755863932212,5.27201277170576,74.91096647427239,10.55,1.8715459991640733,0.3188180404354587,0.1418745235917986,14.048876335502886,39.38351958737566,0.0748065669847665,161.74240683729263,3.934987168520103,50.45,53.8,6.4617,1.229,2031.0,35500.0,17719.75,8030.5,8450.0,1.04,99.05231,79.0,6.4,310.662,149.377,0.09,53.6,1.3359722293354428,22656.793,255055.2,3549566.4,1.88
1609977600000000000,12.275936467574,74.31560730018879,50.03,8.818100407551585,0.9386393607943528,35.44422124440327,0.4665705464151731,3.538859730582948,13.89532175389841,2.950523251539256,0.1629043518734,0.3413234039252192,1.9384124647282543,5.447184394552816,74.101337259232,10.98,1.736915238536359,0.3064153285237763,0.141871778865748,14.329530119003802,39.74972396025027,0.0773846066540443,166.31028747921124,3.998915548325878,50.63,53.7,6.476,1.2265,2028.25,36500.0,18057.0,8167.0,8450.0,1.08,99.05231,79.0,6.4,310.662,149.377,0.09,53.6,1.3359722293354428,22656.793,255055.2,3549566.4,1.88
1610064000000000000,12.409061164786944,75.71896041784659,48.73,9.143525926467763,0.8934120571783716,34.71953974507532,0.4749454406425062,3.77460034896789,13.64785059868675,2.952833765688208,0.1747980111870727,0.3534804226227471,1.928728875826598,5.444526083761939,76.41440117560617,10.83,1.735032831208961,0.3651336233685519,0.1289337693013852,14.474650991917708,40.41146216017634,0.0992790023620666,176.47005038082784,4.053467227574976,52.14,55.51,6.475,1.2252,2024.0,36500.0,17613.5,8118.0,8450.0,1.13,99.05231,79.0,6.4,310.662,149.377,0.09,53.6,1.3359722293354428,22656.793,255055.2,3549566.4,1.88
1610323200000000000,12.409061164786944,74.59335122405389,47.15,9.294611858831248,0.8700338774253156,33.4362137345679,0.4521929012743405,3.7986132047030448,13.91644598765432,2.936850569614311,0.16938712657838,0.3272251308900523,1.847126017742132,5.337222019686475,75.10025519504192,11.5,1.6975308641975309,0.3464736680012319,0.1469880978321834,14.436748086037188,40.5638595212055,0.1108857580137524,175.86863615239517,4.031953365358666,52.15,54.84,6.4795,1.2169,2008.55,37000.0,17032.5,7849.75,8450.0,1.15,99.05231,79.0,6.4,310.662,149.377,0.09,53.6,1.3359722293354428,22656.793,255055.2,3549566.4,1.88
1610409600000000000,12.406411979266654,75.78061320458963,48.94,9.101168590046962,0.8305006180469716,34.482195284215734,0.4239039558106546,3.7757835957281776,15.24076213757465,2.999014434036697,0.1622373300370828,0.3090234857849196,1.9338360496229623,5.516905862320602,75.65069326198005,11.89,1.726645418819816,0.3360630407911001,0.1482868357394484,15.00851374361469,40.89029433227924,0.1147611163548774,175.65255378790638,4.153672254831197,53.08,55.98,6.461,1.2168,2018.35,37000.0,17614.35,7964.5,8450.0,1.15,99.05231,79.0,6.4,310.662,149.377,0.09,53.6,1.3359722293354428,22656.793,255055.2,3549566.4,1.88
1610496000000000000,12.499037795396813,74.91943723964474,49.7,9.086439536027097,0.8626025065758937,33.06622663677824,0.3573935120418651,3.8146374115166064,13.926832032155833,3.002610608813678,0.1701995977100417,0.3403991954200835,1.8898881866796304,5.454545454545455,76.81088964511424,12.8,1.7562031382855376,0.3558718861209964,0.1418666556612534,14.657267865824016,40.93339815264949,0.1160727182682982,185.2796037656828,4.141850544478214,52.81,55.52,6.4677,1.2159,2015.5,38000.0,17627.0,7994.5,8450.0,1.1,99.05231,79.0,6.4,310.662,149.377,0.09,53.6,1.3359722293354428,22656.793,255055.2,3549566.4,1.88
1610582400000000000,12.432964234731278,74.35297095488198,48.62,8.86052871467639,0.8485131558461778,31.66402369331521,0.3775631753594826,3.847601321170104,13.446364450759916,2.946876884968534,0.1673672738595671,0.3425190720846956,1.852301712619944,5.392930887890199,76.76424146726588,13.1,1.76232546645249,0.3503035964502569,0.1418622646376064,15.061338515729382,40.50771286286894,0.1276760381738457,189.15223336371923,4.234387194829735,53.47,55.76,6.4736,1.2156,2004.75,37995.0,18244.25,8039.5,8450.0,1.15,99.05231,79.0,6.4,310.662,149.377,0.09,53.6,1.3359722293354428,22656.793,255055.2,3549566.4,1.88
1610668800000000000,12.38463168847184,72.9221467551333,46.54,8.542900414448564,0.8953380673047235,32.62753923792768,0.3650049193771987,3.7380052427613473,14.462750590305108,2.9098181927547784,0.1659462797159617,0.3357517752392713,1.843791560875348,5.244831338411317,76.65336718655543,12.55,1.8951494667963025,0.4167953071935782,0.1418708639806643,15.403216056099623,39.81380727844275,0.12252483707421,182.73826258082653,4.111162461939974,52.25,54.8,6.48,1.2099,1991.05,37500.0,17971.25,7937.4,8450.0,1.11,99.05231,79.0,6.4,310.662,149.377,0.09,53.6,1.3359722293354428,22656.793,255055.2,3549566.4,1.88
