Pricing Date,MG | Share Price (Daily)($)
03/07/2025,37.982513448520315
03/06/2025,37.53605187259216
03/05/2025,36.666689797306205
03/04/2025,34.071726323767535
03/03/2025,35.60863828900771
02/28/2025,36.510917242382874
02/27/2025,37.139966179691186
02/26/2025,38.18757144051966
02/25/2025,38.20128898768332
02/24/2025,38.39667191364965
02/21/2025,38.104691107732165
02/20/2025,38.67064805555164
02/19/2025,38.201157142154145
02/18/2025,38.070404172099096
02/14/2025,37.838524572807934
02/13/2025,39.57651858886427
02/12/2025,38.95759100118773
02/11/2025,39.15702652640409
02/10/2025,38.920859289884625
02/07/2025,38.51606640267622
02/06/2025,38.43761140196976
02/05/2025,39.13019134670567
02/04/2025,37.75983459991059
02/03/2025,37.04515863770301
01/31/2025,39.81178876674658
01/30/2025,41.695294011506455
01/29/2025,40.962720877416494
01/28/2025,41.10388527597132
01/27/2025,41.47257178613641
01/24/2025,41.17064184332826
01/23/2025,40.16220690422698
01/22/2025,40.02948662670209
01/21/2025,40.784455893528175
01/20/2025,40.75062156046596
01/17/2025,40.524781341107875
01/16/2025,40.56823312840818
01/15/2025,40.95479839890657
01/14/2025,40.43766846126523
01/13/2025,40.367456253555915
01/10/2025,39.48963405764475
01/09/2025,39.75445979070752
01/08/2025,40.306888308222604
01/07/2025,41.88109284130372
01/06/2025,41.74728900148948
01/03/2025,41.20759414877061
01/02/2025,41.176918761298545
12/31/2024,41.7558588863251
12/30/2024,41.63221058629771
12/27/2024,42.17026295705266
12/24/2024,42.38136276444914
12/23/2024,41.93163200133292
12/20/2024,42.22676797194623
12/19/2024,41.38685317803104
12/18/2024,42.291474686548824
12/17/2024,43.511050591808946
12/16/2024,43.81761978361669
12/13/2024,44.308643276086116
12/12/2024,45.036725832146736
12/11/2024,45.09837201736892
12/10/2024,45.72735874369802
12/09/2024,45.983359886705614
12/06/2024,45.337841183169125
12/05/2024,45.79570482619015
12/04/2024,45.77011902647007
12/03/2024,45.629673860502145
12/02/2024,45.201916106380864
