Pricing Date,300750 | Share Price (Daily)($)
03/07/2025,36.04644733204313
03/06/2025,36.472649997240154
03/05/2025,35.995641739993935
03/04/2025,36.19797401453424
03/03/2025,37.55062257183256
02/28/2025,36.2909869830285
02/27/2025,37.08893101458831
02/26/2025,37.00254838487499
02/25/2025,37.1635039717564
02/24/2025,37.457575673960434
02/21/2025,38.00637232589896
02/20/2025,37.240713941148094
02/19/2025,37.5585242953057
02/18/2025,37.20083532547468
02/17/2025,37.09160000550729
02/14/2025,37.185992003308975
02/13/2025,35.84121760592348
02/12/2025,34.92953892461349
02/11/2025,34.4591635647033
02/10/2025,35.379392479226844
02/07/2025,35.84825409892296
02/06/2025,34.72641457658746
02/05/2025,34.6671066743668
01/27/2025,35.437522406993736
01/24/2025,35.97487749327076
01/23/2025,35.33302231125991
01/22/2025,35.484403366892224
01/21/2025,36.332379799757945
01/20/2025,36.36762087385289
01/17/2025,34.3349397261396
01/16/2025,34.08709646622387
01/15/2025,34.22323474844484
01/14/2025,34.947006588370094
01/13/2025,33.67520901242482
01/10/2025,33.54926696215479
01/09/2025,33.732491373549195
01/08/2025,33.462907647612425
01/07/2025,34.04577652213078
01/06/2025,35.0641191975199
01/03/2025,35.20064490565522
01/02/2025,35.45222895032468
12/31/2024,36.44284911838445
12/30/2024,36.52131026262792
12/27/2024,35.90024664291586
12/26/2024,35.796988257217635
12/25/2024,36.71777585947028
12/24/2024,36.77103610890248
12/23/2024,36.10429826123892
12/20/2024,36.00690780005756
12/19/2024,36.9757688723206
12/18/2024,37.24833596376862
12/17/2024,37.58614062542899
12/16/2024,36.683141131246565
12/13/2024,36.702127659574465
12/12/2024,37.66374944958168
12/11/2024,36.78809999311343
12/10/2024,37.305077968812476
12/09/2024,36.90318850156947
12/06/2024,36.66437414030262
12/05/2024,35.26559400484902
12/04/2024,35.64036222509703
12/03/2024,35.94037389848189
12/02/2024,36.05324312803377
11/29/2024,36.07141377739116
11/28/2024,35.160132523467695
11/27/2024,35.86905517679207
11/26/2024,35.39988968560397
11/25/2024,36.554139157635404
11/22/2024,35.760126975364024
11/21/2024,37.06016439870139
11/20/2024,36.92483921720169
11/19/2024,37.12012377058239
11/18/2024,36.31592032929086
11/15/2024,36.82911269519873
11/14/2024,38.01545501043697
11/13/2024,39.05925371893959
11/12/2024,37.74643992810728
11/11/2024,37.081190479490985
11/08/2024,35.90651755584683
11/07/2024,36.76552881925014
11/06/2024,35.75610572097691
11/05/2024,36.79113826058806
11/04/2024,35.38825650850896
11/01/2024,34.56699988767831
10/31/2024,34.558430975863324
10/30/2024,34.821002386634845
10/29/2024,35.29395273206426
10/28/2024,35.95896658667677
10/25/2024,36.359550561797754
10/24/2024,34.57643307628559
10/23/2024,34.98063647078633
10/22/2024,35.1792308448351
10/21/2024,35.58926815563984
10/18/2024,35.19329624674319
10/17/2024,32.50491434990171
10/16/2024,32.84825329044401
10/15/2024,33.88302056410833
10/14/2024,35.24530006210128
10/11/2024,34.216857239895845
10/10/2024,36.436560840582985
10/09/2024,36.01287990057621
10/08/2024,42.382491353404774
09/30/2024,35.90990091952384
09/27/2024,32.3505919269719
09/26/2024,29.31250891456283
09/25/2024,28.88800386880209
09/24/2024,28.089136648700922
09/23/2024,26.690113879710122
09/20/2024,26.316162604392645
09/19/2024,26.444620521817875
09/18/2024,26.318762001581387
09/13/2024,25.86291947964088
09/12/2024,26.603068450039338
09/11/2024,26.20335126480048
09/10/2024,25.440604417980875
09/09/2024,26.028706788691604
09/06/2024,26.23300039501157
09/05/2024,26.33805199932322
09/04/2024,26.314309416346788
09/03/2024,26.06858009436082
09/02/2024,25.45554166256902
08/30/2024,26.00293404051233
08/29/2024,25.471605077415084
08/28/2024,25.65786703717738
08/27/2024,25.758001122964625
08/26/2024,25.82456928628596
08/23/2024,25.530480697664625
08/22/2024,25.02519314746389
08/21/2024,24.392671404740874
08/20/2024,24.515631571568765
08/19/2024,24.592115398081365
08/16/2024,24.220864373203877
08/15/2024,24.169268510258696
08/14/2024,24.128847851368203
08/13/2024,24.285874000782606
08/12/2024,23.554006968641115
08/09/2024,23.723468091935416
08/08/2024,24.029549097498084
08/07/2024,24.272875931180028
08/06/2024,24.541985803664115
08/05/2024,24.82468443197756
08/02/2024,24.742916224221766
08/01/2024,24.894718674490857
07/31/2024,25.804351740280605
07/30/2024,25.49784863195057
07/29/2024,25.4184057192446
07/26/2024,26.12480856523959
07/25/2024,25.96362630523477
07/24/2024,25.656137258681945
07/23/2024,25.595205366470555
07/22/2024,26.057306275092117
07/19/2024,26.05920545834709
07/18/2024,25.943883524566452
07/17/2024,24.912546481200934
07/16/2024,24.68404967097112
07/15/2024,24.55269759876492
07/12/2024,24.802394713972387
07/11/2024,24.3882612289887
07/10/2024,23.78367234744365
07/09/2024,24.169462625818163
07/08/2024,24.20036043968138
07/05/2024,24.434264647215
07/04/2024,24.703244707921268
07/03/2024,24.693905626633647
07/02/2024,24.215752341397003
07/01/2024,24.224371586203098
06/28/2024,24.773975147587006
06/27/2024,25.451943978207634
06/26/2024,25.531241398293417
06/25/2024,25.657197152260427
06/24/2024,25.759433507377352
06/21/2024,25.500970954013965
06/20/2024,25.891442973817952
06/19/2024,26.044121091866117
06/18/2024,26.236852625339456
06/17/2024,25.936440561175267
06/14/2024,25.482034814008294
06/13/2024,25.536433338849356
06/12/2024,25.636421398676738
06/11/2024,26.04514473357433
06/07/2024,26.66077884801148
06/06/2024,28.26678076992091
06/05/2024,28.16458316085769
06/04/2024,28.4492879735908
06/03/2024,27.96188898094449
