Pricing Date,CXO | Share Price (Daily)($)
03/07/2025,0.0516795865633075
03/06/2025,0.05281578110085906
03/05/2025,0.052966769657607674
03/04/2025,0.05270337301587302
03/03/2025,0.053703009866366926
02/28/2025,0.05401378282734214
02/27/2025,0.05689633612604727
02/26/2025,0.05309734513274337
02/25/2025,0.053821313240043064
02/24/2025,0.0546899841017488
02/21/2025,0.055467006694293906
02/20/2025,0.056255194016492996
02/19/2025,0.055178537451639496
02/18/2025,0.054627453471384105
02/17/2025,0.05603311047437122
02/14/2025,0.05660857397277699
02/13/2025,0.0560771217944679
02/12/2025,0.05449079293498684
02/11/2025,0.05540863871048985
02/10/2025,0.05588697017268446
02/07/2025,0.05574345484153827
02/06/2025,0.05656108597285067
02/05/2025,0.05788712011577424
02/04/2025,0.05568416442470125
02/03/2025,0.054448706843212465
01/31/2025,0.055503585905831
01/30/2025,0.055482825260270555
01/29/2025,0.0554240876821522
01/28/2025,0.05559720139930034
01/24/2025,0.058168942842690946
01/23/2025,0.05839141081182896
01/22/2025,0.06267234895963901
01/21/2025,0.06579771901240757
01/20/2025,0.05635919594213789
01/17/2025,0.057792692020879936
01/16/2025,0.055355143674586396
01/15/2025,0.05536547433903577
01/14/2025,0.05385329619312906
01/13/2025,0.053531873000246116
01/10/2025,0.05345293683951831
01/09/2025,0.054475671660269905
01/08/2025,0.055260625252243026
01/07/2025,0.056183282352206744
01/06/2025,0.056853679870048725
01/03/2025,0.05771378925158248
01/02/2025,0.05830180487502326
12/31/2024,0.05507766569713473
12/30/2024,0.05344602572866819
12/27/2024,0.05346263831903519
12/24/2024,0.05108397707450785
12/23/2024,0.05173918464031916
12/20/2024,0.051278844349946846
12/19/2024,0.050078247261345854
12/18/2024,0.051699136246138325
12/17/2024,0.05256824371397809
12/16/2024,0.05284268160692685
12/13/2024,0.054651753940010164
12/12/2024,0.055530733388651304
12/11/2024,0.056025975679633286
12/10/2024,0.05670595731124562
12/09/2024,0.056876938986556366
12/06/2024,0.057504312823461766
12/05/2024,0.05730843528654218
12/04/2024,0.05857363542739443
12/03/2024,0.060217560217560216
12/02/2024,0.05876654827252179
11/29/2024,0.0592640833604689
11/28/2024,0.05849093390524468
11/27/2024,0.05969374513366209
11/26/2024,0.059408497998191916
11/25/2024,0.06168831168831169
11/22/2024,0.062905317769131
11/21/2024,0.06251220941590153
11/20/2024,0.06423566052426681
11/19/2024,0.06848868306046572
11/18/2024,0.06357031655422937
11/15/2024,0.06333204084270389
11/14/2024,0.06809780141384006
11/13/2024,0.06815968841285296
11/12/2024,0.06861848124428178
11/11/2024,0.06572029442691904
11/08/2024,0.06912442396313365
11/07/2024,0.07001867164577219
11/06/2024,0.07225908165276226
11/05/2024,0.07298301486199575
11/04/2024,0.06925664534001715
11/01/2024,0.07234938174164694
10/31/2024,0.07215953817895565
10/30/2024,0.0756379900026309
10/29/2024,0.07867304792499835
10/28/2024,0.07575258546867795
10/25/2024,0.07292978850361334
10/24/2024,0.07295397267542114
10/23/2024,0.07292011932383162
10/22/2024,0.07685624540533316
10/21/2024,0.07989347536617843
10/18/2024,0.07041781235329622
10/17/2024,0.07375620222609629
10/16/2024,0.07329912707403212
10/15/2024,0.07717084955039592
10/14/2024,0.07729533539454228
10/11/2024,0.08106464905762345
10/10/2024,0.08072110856989102
10/09/2024,0.07732132051368251
10/08/2024,0.08069396812588259
10/07/2024,0.08455658526686059
10/04/2024,0.07807196198234895
10/03/2024,0.08214114586898487
10/02/2024,0.0860762980305743
10/01/2024,0.07912481078849594
09/30/2024,0.09013381404700826
09/27/2024,0.06922331441229405
09/26/2024,0.0689084895259096
09/25/2024,0.06848376934666485
09/24/2024,0.06872852233676977
09/23/2024,0.06509524462107714
09/20/2024,0.06785181164337088
09/19/2024,0.06808742425274053
09/18/2024,0.06766357669666419
09/17/2024,0.06418485237483953
09/16/2024,0.06604663701307453
09/13/2024,0.06712760958582265
09/12/2024,0.06695681285570808
09/11/2024,0.06645401382243488
09/10/2024,0.058545672277293584
09/09/2024,0.05585106382978724
09/06/2024,0.05547386713006283
09/05/2024,0.05711597903507593
09/04/2024,0.05917159763313609
09/03/2024,0.06048387096774193
09/02/2024,0.06243637597556837
08/30/2024,0.06362959453056251
08/29/2024,0.06315789473684211
08/28/2024,0.06512448273522828
08/27/2024,0.06779201410073893
08/26/2024,0.06775067750677508
08/23/2024,0.06789327177676692
08/22/2024,0.06709608158883522
08/21/2024,0.06750371270419873
08/20/2024,0.06402048655569782
08/19/2024,0.06250840166689071
08/16/2024,0.06172429813499701
08/15/2024,0.0609796513554716
08/14/2024,0.0614957349732196
08/13/2024,0.06079429062314148
08/12/2024,0.06068201305982455
08/09/2024,0.06312467122567071
08/08/2024,0.06111184124063609
08/07/2024,0.06163530260310799
08/06/2024,0.05856705928287889
08/05/2024,0.05895309665716506
08/02/2024,0.06188521920396065
08/01/2024,0.06845296303539995
07/31/2024,0.06200639644931793
07/30/2024,0.059469350411710885
07/29/2024,0.061445940645836056
07/26/2024,0.06354405502784147
07/25/2024,0.0595939751146038
07/24/2024,0.06205849343104246
07/23/2024,0.0648491265219693
07/22/2024,0.06637902422834384
07/19/2024,0.07023881196066627
07/18/2024,0.06725401842760105
07/17/2024,0.0740292078874756
07/16/2024,0.07394957983193277
07/15/2024,0.08133387555917039
07/12/2024,0.07472318456626588
07/11/2024,0.06769564040075819
07/10/2024,0.06545209176788125
07/09/2024,0.06254623713766898
07/08/2024,0.06743997841920692
07/05/2024,0.061374519457746
07/04/2024,0.061221743810548984
