Pricing Date,PIRC | Share Price (Daily)($)
03/07/2025,6.1289622231871475
03/06/2025,6.302794022092268
03/05/2025,6.316129727400065
03/04/2025,6.055181128896377
03/03/2025,6.421748714180749
02/28/2025,6.278222869628551
02/27/2025,6.337148803329865
02/26/2025,6.116015132408575
02/25/2025,6.007979840403192
02/24/2025,6.114542979792692
02/21/2025,5.978260869565218
02/20/2025,5.994139807450816
02/19/2025,5.99854303257363
02/18/2025,6.086410712417616
02/17/2025,6.056795556952741
02/14/2025,6.048319327731092
02/13/2025,6.007310704960835
02/12/2025,5.850678264471369
02/11/2025,5.835488877392653
02/10/2025,5.7737911124858226
02/07/2025,5.81799379524302
02/06/2025,5.810334094210417
02/05/2025,5.769350974059798
02/04/2025,5.810334094210417
02/03/2025,5.80625193438564
01/31/2025,6.053424799916849
01/30/2025,6.087772333993536
01/29/2025,6.022916666666667
01/28/2025,6.063197413703202
01/27/2025,6.1520688930896865
01/24/2025,6.152875617705814
01/23/2025,6.067673086933889
01/22/2025,6.038954275596292
01/21/2025,5.975863503953391
01/20/2025,6.027454242928453
01/17/2025,5.931871976947617
01/16/2025,5.902820671196212
01/15/2025,5.959460849881675
01/14/2025,5.847230800905909
01/13/2025,5.6711546307629535
01/10/2025,5.718964282059154
01/09/2025,5.746345480749434
01/08/2025,5.7507987220447285
01/07/2025,5.842230745309423
01/06/2025,5.82086450540316
01/03/2025,5.537258130918073
01/02/2025,5.660957850476874
12/30/2024,5.679601577090684
12/27/2024,5.739910313901345
12/23/2024,5.674776460802661
12/20/2024,5.752083333333334
12/19/2024,5.6914451827242525
12/18/2024,5.794823430786965
12/17/2024,5.780577427821522
12/16/2024,5.79201680672269
12/13/2024,5.791959693502676
12/12/2024,5.79190266414936
12/11/2024,5.70200272622418
12/10/2024,5.704980037823072
12/09/2024,5.708844688954718
12/06/2024,5.649371235337631
12/05/2024,5.6442236550047555
12/04/2024,5.5244313395113736
12/03/2024,5.516661410701145
12/02/2024,5.41504879840487
11/29/2024,5.41675458957586
11/28/2024,5.3676548159088515
11/27/2024,5.338965153115101
11/26/2024,5.197905759162304
11/25/2024,5.453401824090577
11/22/2024,5.376299376299376
11/21/2024,5.442148326864575
11/20/2024,5.43217665615142
11/19/2024,5.421431596781026
11/18/2024,5.4201458619596234
11/15/2024,5.411963287266589
11/14/2024,5.376639864578925
11/13/2024,5.252749576988156
11/12/2024,5.4408488063660485
11/11/2024,5.508573863031206
11/08/2024,5.475219909890582
11/07/2024,5.356487973249919
11/06/2024,5.281176218072549
11/05/2024,5.522436947264985
11/04/2024,5.495917256396298
11/01/2024,5.49576914732046
10/31/2024,5.457111834961998
10/30/2024,5.536490008688097
10/29/2024,5.47202419529056
10/28/2024,5.583459623295086
10/25/2024,5.597402597402597
10/24/2024,5.564916828688703
10/23/2024,5.6539083557951475
10/22/2024,5.698529411764706
10/21/2024,5.693557119653493
10/18/2024,5.796503420566837
10/17/2024,5.788846778559827
10/16/2024,5.799434413748097
10/15/2024,5.74700109051254
10/14/2024,5.854882705946535
10/11/2024,5.827219971531808
10/10/2024,5.814487053425107
10/09/2024,5.879518072289157
10/08/2024,5.7907435841193236
10/07/2024,5.843485896169465
10/04/2024,5.796974347730761
10/03/2024,5.716488600066087
10/02/2024,5.755935946990613
10/01/2024,5.913216736772194
09/30/2024,6.0785188489850555
09/27/2024,6.207435525287484
09/26/2024,6.221079691516709
09/25/2024,6.181655880383843
09/24/2024,6.252648009811573
09/23/2024,6.112224448897796
09/20/2024,6.023613276899086
09/19/2024,6.20182668745823
09/18/2024,6.058921623123958
09/17/2024,5.998888271261812
09/16/2024,6.0066740823136815
09/13/2024,6.03171083268655
09/12/2024,5.9699845508717715
09/11/2024,5.8731556925787265
09/10/2024,5.908940579869916
09/09/2024,5.962239152037099
09/06/2024,5.944925605152121
09/05/2024,6.028824833702882
09/04/2024,6.070478723404255
09/03/2024,6.034444689776993
09/02/2024,6.116397433060411
08/30/2024,6.07676142019688
08/29/2024,6.070004430660168
08/28/2024,6.118406409971066
08/27/2024,6.106955453834989
08/26/2024,6.065884980457845
08/23/2024,6.098052384150437
08/22/2024,5.989114739531267
08/21/2024,6.032947462154943
08/20/2024,5.95758854224492
08/19/2024,5.952881318438225
08/16/2024,5.85843042426907
08/14/2024,5.839673613408314
08/13/2024,5.783766020374631
08/12/2024,5.736468015308913
08/09/2024,5.703048180924287
08/08/2024,5.714597425267292
08/07/2024,5.728027984258855
08/06/2024,5.693670055755986
08/05/2024,5.813034891375906
08/02/2024,5.96046740198755
08/01/2024,5.996548748921484
07/31/2024,6.261904761904761
07/30/2024,6.284973533542184
07/29/2024,6.248917748917749
07/26/2024,6.318532189773098
07/25/2024,6.2438918449343035
07/24/2024,6.158688809291219
07/23/2024,6.170212765957447
07/22/2024,6.275576839355682
07/19/2024,6.212302667392488
07/18/2024,6.215095986038395
07/17/2024,6.200109349371242
07/16/2024,6.2705408640766125
07/15/2024,6.177690460598123
07/12/2024,6.2529989094874585
07/11/2024,6.165887596477877
07/10/2024,6.1117124918813595
07/09/2024,6.025294562749973
07/08/2024,6.091007583965331
07/05/2024,6.131860993829165
07/04/2024,6.112432432432431
07/03/2024,6.0566119273984445
07/02/2024,5.911531028559159
07/01/2024,6.021874329830582
06/28/2024,5.9573556198435655
06/27/2024,6.0079220640188415
06/26/2024,6.045071024244367
06/25/2024,6.070855185700524
06/24/2024,6.207488466902692
06/21/2024,6.2072649572649565
06/20/2024,6.330904414916417
06/19/2024,6.262083780880774
06/18/2024,6.295779185909139
06/17/2024,6.365001072271071
06/14/2024,6.2744678575248685
06/13/2024,6.424111948331539
06/12/2024,6.525653541598873
06/11/2024,6.444277593049448
06/10/2024,6.493339063171465
06/07/2024,6.539126675313445
06/06/2024,6.578890097932535
06/05/2024,6.458763446702162
06/04/2024,6.50272034820457
06/03/2024,6.546919224907469
05/31/2024,6.58930701659256
05/30/2024,6.408588158750813
05/29/2024,6.6947869348907645
05/28/2024,6.715249075484012
05/27/2024,6.673905961559344
05/24/2024,6.697058504287419
05/23/2024,6.587292997077606
05/22/2024,6.5987647632462885
05/21/2024,6.514657980456026
05/20/2024,6.65797762571956
05/17/2024,6.688410524026963
05/16/2024,6.645652173913043
05/15/2024,6.686229757635039
05/14/2024,6.620510601471224
05/13/2024,6.691851052347546
05/10/2024,6.714054927302101
05/09/2024,6.5380885680422365
05/08/2024,6.465341214400859
05/07/2024,6.65948043548561
05/06/2024,6.617821355457386
05/03/2024,6.46773672304212
05/02/2024,6.517599229699369
04/30/2024,6.3815226689478175
04/29/2024,6.428801028608165
04/26/2024,6.386249599658377
04/25/2024,6.365291912158543
04/24/2024,6.38811711904253
04/23/2024,6.407019045580998
04/22/2024,6.322511974454498
04/19/2024,6.203733333333333
04/18/2024,6.259330347622095
04/17/2024,6.17086924140866
04/16/2024,6.166436390689766
04/15/2024,6.220095693779904
04/12/2024,6.209977661950856
04/11/2024,6.2161293777444575
04/10/2024,6.279819471308834
04/09/2024,6.322188449848024
04/08/2024,6.365610073816761
04/05/2024,6.254466702761235
04/04/2024,6.295893982185532
04/03/2024,6.239982672731211
04/02/2024,6.080120611673487
03/28/2024,6.130913804277383
03/27/2024,6.135035706557022
03/26/2024,6.1123741474504705
03/25/2024,6.126340882002384
03/22/2024,6.0382661333909855
03/21/2024,6.08100770984906
03/20/2024,6.034089675388123
03/19/2024,6.062119895742833
03/18/2024,6.012176560121767
03/15/2024,6.036585365853658
03/14/2024,5.820716697527502
03/13/2024,5.842180146656452
03/12/2024,5.843432689158205
03/11/2024,5.7523767894219215
03/08/2024,5.875656742556918
03/07/2024,5.916939890710381
03/06/2024,6.039463643300992
03/05/2024,6.237774396870246
03/04/2024,6.158357771260997
03/01/2024,6.095052506224965
02/29/2024,5.891254999459519
02/28/2024,5.91115926327194
02/27/2024,5.98155181768855
02/26/2024,5.929702755478412
02/23/2024,5.898517797251974
02/22/2024,5.862628447809627
02/21/2024,5.791522491349481
02/20/2024,5.781672617115655
02/19/2024,5.72628405297728
02/16/2024,5.83710407239819
02/15/2024,5.882732651963422
02/14/2024,5.7921269977475065
02/13/2024,5.857005038053384
02/12/2024,5.799849186685339
02/09/2024,5.758033211127885
02/08/2024,5.713670613562971
02/07/2024,5.569184420055951
02/06/2024,5.554003224073079
02/05/2024,5.318030676820766
02/02/2024,5.434336894356318
02/01/2024,5.439357778259927
01/31/2024,5.4659867635890205
01/30/2024,5.564105343015065
01/29/2024,5.5855661192739845
01/26/2024,5.65406345067362
01/25/2024,5.540262273761786
01/24/2024,5.555797733217088
01/23/2024,5.482717520858164
01/22/2024,5.531961232712621
01/19/2024,5.563173359451518
01/18/2024,5.5193394176445025
01/17/2024,5.528172836825535
01/16/2024,5.664488017429194
01/15/2024,5.691448593014345
01/12/2024,5.817065145865321
01/11/2024,5.830961243704838
01/10/2024,5.677956812452043
01/09/2024,5.6818181818181825
01/08/2024,5.469710272168569
01/05/2024,5.305406294549841
01/04/2024,5.3084931506849315
01/03/2024,5.2728661864221795
01/02/2024,5.412099956159579
12/29/2023,5.446004200287388
12/28/2023,5.453035002215329
12/27/2023,5.4137010676156585
12/22/2023,5.348453154244193
12/21/2023,5.329229416291086
12/20/2023,5.31980252331322
12/19/2023,5.271709298495993
12/18/2023,5.227123826162918
12/15/2023,5.2668340063298045
12/14/2023,5.344694887300715
12/13/2023,5.154294346137246
12/12/2023,5.187223481169743
12/11/2023,5.178341211860765
12/08/2023,5.160735404795182
12/07/2023,5.151580537274788
12/06/2023,5.133297355639504
12/05/2023,5.133297355639504
12/04/2023,4.90531327778379
12/01/2023,4.954925600086891
11/30/2023,4.971098265895953
11/29/2023,4.99012941434525
11/28/2023,5.006043291945939
11/27/2023,4.972128101431851
11/24/2023,4.930008748906387
11/23/2023,4.892039258451471
11/22/2023,4.872853727450555
11/21/2023,4.8748770626161075
11/20/2023,4.968814968814969
11/17/2023,4.948835183975616
11/16/2023,4.853356506626114
11/15/2023,4.920152091254753
11/14/2023,4.915346212285653
11/13/2023,4.750240667451064
11/10/2023,4.703371745625267
11/09/2023,4.787359400107125
11/08/2023,4.762261726279718
11/07/2023,4.659613123864487
11/06/2023,4.734693877551021
11/03/2023,4.717568728522337
11/02/2023,4.5934182590233545
11/01/2023,4.461895225044798
10/31/2023,4.438457474907554
10/30/2023,4.379840848806366
10/27/2023,4.310984005931576
10/26/2023,4.328138163437237
10/25/2023,4.304467499470675
10/24/2023,4.318085556967387
10/23/2023,4.425531914893617
10/20/2023,4.546128588073297
10/19/2023,4.611316763617134
10/18/2023,4.693985041609608
10/17/2023,4.750211685012702
10/16/2023,4.743724952541657
10/13/2023,4.619422572178478
10/12/2023,4.7151297742139695
10/11/2023,4.746284501061571
10/10/2023,4.710559796437659
10/09/2023,4.682062638405568
10/06/2023,4.619777895293495
10/05/2023,4.58096441356075
10/04/2023,4.619022595901209
10/03/2023,4.649994768232709
10/02/2023,4.706253284287967
09/29/2023,4.827476714648603
09/28/2023,4.820371935756551
09/27/2023,4.886387544708605
09/26/2023,4.925972927241963
09/25/2023,4.99099862331886
09/22/2023,5.052216538789429
09/21/2023,5.156749840051185
09/20/2023,5.20205809840283
09/19/2023,5.068361461226234
09/18/2023,5.00854518265328
09/15/2023,5.081092616303883
09/14/2023,5.064533333333333
09/13/2023,5.13484474051789
09/12/2023,5.155026284733397
09/11/2023,5.168189145620634
09/08/2023,5.039640025712449
09/07/2023,5.062600321027288
09/06/2023,5.090012858979855
09/05/2023,5.070709235054639
09/04/2023,5.0102470067953835
09/01/2023,4.967616580310881
08/31/2023,4.996746203904555
08/30/2023,5.008746993221081
08/29/2023,4.990240728692258
08/28/2023,4.898973527822798
08/25/2023,4.840551605257487
08/24/2023,4.8564930141882385
08/23/2023,4.879557291666666
08/22/2023,4.890938686923493
08/21/2023,4.917800762112139
08/18/2023,4.943991299619359
08/17/2023,4.950505819645382
08/16/2023,4.984182393367514
08/14/2023,4.959615804409517
08/11/2023,4.94793379370821
08/10/2023,5.071601674377615
08/09/2023,5.073561703996487
08/08/2023,5.068418171866448
08/07/2023,5.140845070422534
08/04/2023,5.237884976266696
08/03/2023,5.2206284900908795
08/02/2023,5.304024496937883
08/01/2023,5.3508771929824555
07/31/2023,5.344941591359929
07/28/2023,5.421766457161759
07/27/2023,5.319265853390482
07/26/2023,5.217583877754401
07/25/2023,5.252982766239504
07/24/2023,5.204296312700698
07/21/2023,5.382562277580071
07/20/2023,5.376727596968346
07/19/2023,5.284962490202664
